Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Apple Support Business Analyst,Apple,Singapore| Singapore,4 weeks ago,55 applicants,https://sg.linkedin.com/jobs/view/apple-support-business-analyst-at-apple-2190099418?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><br/><strong>Summary<br/></strong> <br/>Imagine what you could do here! At Apple great ideas have a way of becoming great products services and customer experiences very quickly. Bring passion and dedication to your job and there’s no telling what you could accomplish!<br/><br/><br/>Apple Support Analytics is looking for an intensely curious analytically-oriented professional to join us in a senior business analytics role. You have a passion for conducting research answering high impact business questions with data and presenting your findings and recommendations to key decision-makers across the region and globally.<br/><br/> <br/><strong>Key Qualifications<br/></strong> <br/>Minimum 5 years of relevant experience <br/><br/>Strong technical expertise in SQL Tableau. Python experience a plus <br/><br/>Expertise in advanced analytical techniques and statistical analysis<br/><br/>Broad-minded with scrupulous attention to detail and desire for end-to-end ownership of deliverables<br/><br/>Self-motivated and driven; comfortable working in a global fast-paced often ambiguous environment and with multiple cross functional teams<br/><br/>Business savvy and consumer focused to think strategically and act tactically and expeditiously to resolve issues<br/><br/>Outstanding written verbal and presentation skills with the ability to develop and present conclusions and recommendations to senior management<br/><br/>Comfortable supporting collaborating and communicating with senior management. Able to build solid working relationships through active listening delivering promised results and establishing trust<br/><br/>High level of professionalism energy and sense of urgency <br/><br/>Collaborative with a positive attitude strong sense of empathy and ability to make timely decisions<br/><br/>Lean Six Sigma expertise is preferred<br/><br/> <br/><strong>Description<br/></strong> <br/>In this role you will identify opportunities to improve contact centre efficiency quality and productivity and provide recommendations for actions that drive cost-savings and other meaningful business improvements.<br/><br/><br/>The ideal candidate has extensive experience communicating with stakeholders across all levels of the organisation and will have the passion to stand behind their recommendations which are supported by advanced analysis.<br/><br/> <br/><strong>Education &amp; Experience<br/></strong> <br/>Bachelor or Master’s degree in a field related to analytics such as operations research statistics or econometrics<br/><br/></div>
Business Analyst,One North,Singapore| Singapore,4 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-analyst-at-one-north-2225292097?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Job Description &amp; Requirements<br/><br/></u></strong>In this role you will have an in-depth understanding of business processes and define the use cases / user story for applications. You will also develop acceptance criteria to provide assurance for quality of the applications releases.<br/><br/>As part of this dynamic role you will report to Lead Business Analyst and work closely with business units and other IT teams to deliver leading edge digital capabilities of the organisation.<br/><br/><strong><u>Roles &amp; Responsibilities<br/><br/></u></strong>One North Consulting is currently hiring Business Analysts with about 4 - 7 years of experience as per details given below:<br/><br/>For more information connect with us on <strong>https://www.linkedin.com/company/one-north-consulting-pte-ltd/<br/><br/></strong><strong><u>Technical Requirements<br/></u></strong><ul> <li>Prior experience as a Business Analyst (4+ years) having in-depth understanding of the entire SDLC process</li> <li>Understand business process and define the business requirements in the form of use cases / user stories.</li> <li>Design IT solutions together with relevant IT teams that will meet business requirements and timeline.</li> <li>Able to create test plans functional scenarios per requirements carry out systems testing and assist with UATs</li> <li>Liaising and communicating with various stakeholders (application/tech teams project team)</li> <li>Experience and familiarity with platforms : Confluence JIRA MS OfficeSuite</li> <br/><br/></ul><strong><u>Roles &amp; Responsibilities<br/></u></strong><ul> <li>Managing Project initiatives</li> <li>Strong Business Analysis experience using Agile framework.</li> <li>Build Traceability matrix from Product Backlog and develop user stories for each Sprint.</li> <li>Manage the business IT and the users.</li> <li>Passion for agile strong collaboration skills and ability to work across multiple and diverse clients internal projects and teams.</li> <li>Maintain Exceptional ability to drive delivery of software development projects within a supportive and innovative culture.</li> <li>Provide end-user training</li> <br/></ul><strong>Competencies &amp; Personal Traits<br/></strong><ul> <li>Independent and works well across different functions</li> <li>Strong sense of drive and commitment to deliver on responsibilities</li> <li>Strong verbal and written communication skills</li> <li>Works well in a dynamic environment</li> <li>Experience in writing clear and comprehensive test plans</li> <li>Exposure to Waterfall and Agile testing process</li> <br/></ul>If Interested please email us your CV to <strong>Kashish@OneNorthConsulting.com</strong></div>
IKEA Jurong - Business Analyst,IKEA,Singapore| Singapore,6 days ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/ikea-jurong-business-analyst-at-ikea-2193870245?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Company Description<br/><br/></u></strong>The IKEA vision is to create a better everyday life for the many people. We do this by offering a wide range of well-designed functional home furnishing products at prices so low that as many people as possible can afford them. We operate in Singapore Malaysia and Thailand – and have an ambitious expansion plan to bring a little bit of Sweden to new markets in the region. We are part of the Ikano Group of companies and the only IKEA franchisee owned by the Kamprad family that founded IKEA.<br/><br/>We also develop own and operate Shopping Centres that are anchored by IKEA and create walkable communities by including residential office and other types of real estate in our development plans.<br/><br/>We work towards making sustainability a natural part of our everyday work. We are active in our communities driving and supporting social initiatives that benefit children women and the environment.<br/><br/><strong><u>Job Description<br/><br/></u></strong><strong>About the job<br/><br/></strong>IKEA Jurong is a unique city centre store in a popular shopping mall. It is a smaller store with a big turnover and with 3 million visitors. It will be led by an ambitious team consisting of the Store Commercial Operations IKEA Food and a Retail Foundation Manager.<br/><ul><li> Support Operations Manager in Business plan budget and forecast process by translating the store’s strategy and goals in Profit &amp; Loss (P&amp;L) scenarios using financial analysis and benchmarking;</li><li> Lead the store’s monthly financial reporting together with the regional and store’s accounting team by timely efficient accurate and compliant invoice management;</li><li> Monitor the store’s budget through close follow up of the P&amp;L and provide regular updates to the store management on the store’s financial position and recommend improvement measures in case of deviation and potentials;</li><li> Provide relevant and user-friendly business information on the store’s performance KPIs;</li><li> Support the sales team in converting performance insights into actions towards maximising business opportunities in the most efficient and effective way;</li><li> Supporting correct procurement of indirect material by requesting and comparing supplier quotations by periodic reviews on contracts management administering purchase tool user management.<br/></li></ul><strong><u>Qualifications<br/><br/></u></strong><strong>Your profile<br/></strong><ul><li> Highly developed analytical and numerical skills; Result oriented;</li><li> Strong management and leadership experience;</li><li> Self-reliant and motivated with proven ability to work as part of a team as well as independently;</li><li> Ability to influence;</li><li> Flexible approach to work and open to change;</li><li> Being able to communicate clearly and succinctly both verbally and in writing;</li><li> Good working knowledge of all areas of IKEA business;</li><li> Experience in setting and implementing long-term strategic plans setting budgets and following up on goals.<br/></li></ul>Additional Information<br/><br/>Please apply by 15 November 2020</div>
Business Analyst #SGUnited,Kydon Group,Singapore| Singapore,4 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-analyst-%23sgunited-at-kydon-group-2202446559?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><u>Scope of Work<br/></u><ul> <li>Perform business analysis such as assess current state analyses stated requirements of stakeholders to define business needs;</li> <li>Source and evaluate alternatives to identify solution that best fits business need identify gaps and determine workarounds/changes to the solution. Assess deployed solutions to see how well they met the original need;</li> <li>Work closely with business users and project team members on project initiation solution design implementation deployment and post implementation support;</li> <li>Lead the solution design effort and help to develop innovative solutions while complying to existing standards guidelines and processes; and</li> <li>Manage conflicts issues and changes to ensure stakeholders and project team remain in agreement on solution scope communicate and manage expectations of stakeholders.</li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li>Diploma / Degree in IT or equivalent;</li> <li>At least 3 years of relevant experience;</li> <li>Business Analysis certification (Certification of Competency in Business Analysis™ (“CCBA®”) Certified Business Analysis Professional™ (CBAP®)) or an equivalent certification will be an added advantage;</li> <li>Analytical conceptualisation and problem-solving skills;</li> <li>Ability to perform qualitative quantitative and root-cause analysis;</li> <li>Pro-active resourceful and self-motivated to innovate and take smart risks to achieve business goals;</li> <li>Good communication skills both oral and written with the ability to pitch ideas and influence stakeholders;</li> <li>Knowledge of design thinking and workshop facilitation will be an added advantage.</li></ul></div>
Business Analyst,Tata Consultancy Services,Singapore| Singapore,2 days ago,165 applicants,https://sg.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-2205233366?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong><u>Desired Competencies (Technical/Behavioral Competency)</u></strong></p><p><br/></p><p><u>Must-Have</u></p><p><br/></p><ul><li>8 to 10 years of IT experience.</li><li>5+ year of BA experience in banking and financial.</li><li>Must have worked as business analyst. </li><li>Must have Vision Plus knowledge.</li></ul><p><br/></p><p><u>Good-to-Have	</u></p><p><br/></p><ul><li>Knowledge on Cards domain.</li><li>Good experience in coordination with different groups</li><li>Good communication skills (oral and written) and experience in writing high quality project documents</li></ul><p><br/></p><p><strong><u>Key Expectations from the Role </u></strong></p><p><br/></p><ul><li>Liaise with team to formalize high level requirements</li><li>Create functional Features &amp; User Stories with clear Acceptance criteria from high level requirements </li><li>Lead product backlog grooming sessions with relevant stakeholders in Biz &amp; Technology and ensure requirements are well understood by all</li><li>Lead the solution for project as required</li><li>Participate in Functional Requirement &amp; Test Plan Walk thru to ensure their completeness to match requirements</li><li>Review test cases prepared by Testing Team &amp; suggest for optimization where possible</li></ul></div>
Business Analyst (Permanent),Robert Half,Singapore| Singapore,1 month ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-analyst-permanent-at-robert-half-2191717452?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>The Company<br/><br/></u></strong>An investment holding firm is looking to hire a Business Analyst.<br/><br/><strong>The Role<br/><br/></strong>You are expected to evaluate and execute M&amp;A and other investment opportunities performing valuation and returns analyses preparing investment memos for transaction approval developing corporate and business unit level strategy co-ordinating post-acquisition integration plans with investee companies identifying financial and operational efficiencies as well as analyzing industry trends and expansion opportunities.<br/><br/><strong>Your Profile<br/><br/></strong>You should have a Degree in Finance/Accountancy with a minimum of 1 year of relevant experience in corporate finance / business analysis. Strong analytical and problem-solving skills are pre-requisites for this role. Candidates from the big 4 / investment banking / private equity firms are welcome to apply.<br/><br/><strong>Apply Today<br/></strong>Please send your resume in WORD format only and quote reference number <strong>ET11506712</strong> by clicking the apply button. Please note that only short-listed candidates will be contacted.<br/><strong>Robert Half International Pte Ltd. Co. Registration no.: 200612189E | | EA Licence no.: 07C5595 | Tan Yee Le (Elise) EA Registration no.: R1330020</strong></div>
Business Analyst (Digital),Chubb,Singapore| Singapore,2 days ago,109 applicants,https://sg.linkedin.com/jobs/view/business-analyst-digital-at-chubb-2205245722?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p>Chubb is looking for a Business Analyst to join their regional digital team. Ideal candidate should be passionate about bringing and delivering innovative superior future ready digital solutions across insurance lifecycle. You will be required to identify &amp; analyze business pain points gaps core problems industry trends business needs and translate these to tangible business requirements and needs. You should be able to clearly articulate document &amp; communicate the requirements to different stakeholders and drive implementation of new solutions platforms models &amp; methods for Chubb’s partners and customers. You will be working closely with product/platform/delivery/technology owners to conceptualize deliver &amp; implement digital solutions &amp; their adoption with partners customers regionally and locally.</p><p><br/></p><p><strong>Main Responsibilities:</strong></p><p><br/></p><ol><li>Work closely with business &amp; product owners to analyse evaluate and understand business pain points/needs/opportunities develop clear and accurate specifications to ensure that solutions/systems fully address business requirements &amp; needs.</li><li>Work closely with product/platform owners to understand product/platform vision roadmap and value proposition. Define &amp; document requirements aligned with product /platform roadmap</li><li>Closely collaborate with different stakeholders (Business users partnership managers platform/product owners etc) to collect capture and document business requirements in form of specific documents (BRD FSD) and/or user stories.</li><li>Facilitate prioritisation of user requirements/user stories based on business priorities &amp; criticality product backlog &amp; business case</li><li>Ensure user/business requirements are clearly articulate translated and documented for efficient delivery by technical/delivery teams. Work closely with delivery teams across time zones while ensuring quality &amp; timely delivery.</li><li>Ensure proper due diligence across product/project lifecycle including compliance to architecture technical solutions external/internal dependencies &amp; risks.</li><li>Assist in project delivery/management while attending to multiple projects throughout delivery life cycle</li></ol><p> </p><p><strong>Skills:</strong></p><p><br/></p><ol><li>Strong analytical problem solving skills. Ability to understand business problems and articulate the complexity in clear terms to technical and non-technical stakeholders.</li><li>Ability to work in a fast paced challenging environment while attending to multiple projects/deliveries. Aptitude for multi-tasking working to emerging &amp; tight timelines.</li><li>Good understanding of product/platform lifecycle management for web/mobile technology with a keen interest in customer experience user journeys customer acquisition.</li><li>Ability to take the initiative independently be assertive and think strategically.</li><li>Excellent organisational verbal and written communication skills.</li><li>Facilitation communication skills and stakeholder management skills.</li></ol><p> </p><p><strong>Soft Skills:</strong></p><p><br/></p><ol><li>Strong work and professional ethics</li><li>Excellent people management &amp; stakeholder management skills</li><li>Strong interpersonal collaboration &amp; team management skills</li><li>High sense of ownership urgency drive and diligency. Proven track record of getting things done managing multiple tasks/priorities including communication with internal and external teams while consistently delivering on schedule</li></ol><p><strong> </strong></p><p><strong>Knowledge &amp; Experience:</strong></p><p><br/></p><ul><li>Degree or equivalent qualification (Essential)</li><li>5 Years + experience in digital delivery as a BA working in Agile environment (Essential)</li><li>Prior experience in insurance industry &amp; products (Essential)</li><li>Formal Business Analysis qualification and Agile qualification/certifications (Desirable)</li><li>Prior experience on Product/platform lifecycle management (Desirable)</li><li>Knowledge on e-commerce customer lifecycle digital sales customer servicing insurance products (Desirable)</li><li>Working knowledge of tools like Jira Confluence MS Projects MS Office Suite</li><li>Experience of working with wide range of internal and external stakeholder audiences across globally distributed and cross functional teams</li></ul></div>
Business Analyst| Business Consulting,EY,Singapore| Singapore,4 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-analyst-business-consulting-at-ey-2237425146?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">In a world of dramatic and fast-paced change the ability to retain existing customers and attract new ones is critical. As a customer advisory professional you’ll provide clients with a strong analytical framework to transform their sales and drive sustainable growth. Joining one of our high-performing globally integrated teams you’ll work closely with our clients’ marketing sales and customer service functions helping to ensure they interact effectively with their customer base.<br/><br/>Through our structured learning and development program you’ll develop the skills knowledge and experience to help grow our clients’ businesses. And with a network that stretches across the world you’ll gain unparalleled insight and experience from different geographies and sectors. So whenever you join however long you stay the exceptional EY experience lasts a lifetime.<br/><br/><strong><u>Your Key Responsibilities<br/></u></strong><ul> <li>Interact with business users/Product Owner and understand business processes and requirements</li> <li>Perform requirements analysis and solution design on product backlog items</li> <li>Collaborate closely with developers as part of an agile development team</li> <li>Perform functional testing and coordinate acceptance test with users<br/><br/></li></ul><strong><u>Skills &amp; Attributes For Success<br/></u></strong><ul> <li>Plan and conduct training to users as part of project delivery</li> <li>Provide solutions and options on operational issues encountered by end users <br/><br/></li></ul><strong><u>To Qualify For The Role You Must Have<br/></u></strong><ul> <li>Degree in Computer Science Engineering Information Systems or related disciplines</li> <li>Minimum 3 years of working experience in Business Analyst or similar capacity</li> <li>Strong analytical problem solving skills and attention to detail</li> <li>Strong written and verbal communication with emphasis on technical writing skills</li> <li>Basic knowledge of database query scripting (SQL) and UX/UI design concepts<br/><br/></li></ul><strong>Ideally you’ll also have<br/></strong><ul> <li>Keen appreciation of client’s needs and strong interest in software delivery</li> <li>Knowledge of test automation will be an advantage<br/><br/></li></ul><strong><u>What We Look For<br/><br/></u></strong>Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.<br/><br/><strong><u>What Working At EY Offers<br/><br/></u></strong>EY offers a competitive remuneration package where you’ll be rewarded for your individual and team performance<em>. </em><em>We are committed to being an inclusive employer and are happy to consider flexible working arrangements. </em>Plus we offer:<br/><ul> <li>Support coaching and feedback from some of the most engaging colleagues around</li> <li>Opportunities to develop new skills and progress your career</li> <li>The freedom and flexibility to handle your role in a way that’s right for you<br/><br/></li></ul><strong><u>About EY<br/><br/></u></strong>As a global leader in assurance tax strategy and transactions and consulting services we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training opportunities and creative freedom to make things better. So that whenever you join however long you stay the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people we’ll make our ambition to be the best employer by 2020 a reality.<br/><br/><strong>If you can confidently demonstrate that you meet the criteria above please contact us as soon as possible.<br/><br/></strong><strong>Join us in building a better working world. <br/><br/></strong><strong>Apply today.<br/><br/></strong>Want to get to know us better?<br/><br/>Visit www.ey.com/SG/careers<br/><br/>Become a fan on Facebook: https://www.facebook.com/eycareerssingapore<br/><br/>Connect with us on Linked In: http://bit.ly/EYLinked_Careers<br/><br/>Follow us on Twitter: https://twitter.com/EY_Singapore<br/><br/>Watch us on YouTube: http://www.youtube.com/ernstandyoungglobal</div>
Business Analyst,Irtish Consulting,Singapore| Singapore,5 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-analyst-at-irtish-consulting-2226024753?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Your primary focus will be on the Business Requirements and Functional Solution aspects<br/><br/>of the project. In this role you will work in a project team in collaboration with Agency users<br/><br/><strong><u>To<br/><br/></u></strong>elicit scope and manage the Agency’s business requirements<br/><br/>develop the business case and Tender Specifications<br/><br/>evaluate and recommend ICT solutions that best address the needs<br/><br/>prioritise product backlog through rigorous information gathering and analysis with stakeholders and contribute to the development of the Functional/ Design specifications<br/><br/>review testing and data conversion documents to verify that specifications are met<br/><br/>drive smooth deployment adoption and operations of the solution analyse impact of requested changes (Operations &amp; Maintenance phase)<br/><br/>work with developers to understand and troubleshoot technical problems as needed (Operations &amp; Maintenance phase)<br/><br/>Degree or Diploma in Computer Science Information Systems Information/Infocomm Technology Computer or Electronics Engineering or related discipline<br/><br/><strong><u>Minimum 4 Years Of Working Experience For Consultant<br/><br/></u></strong>Participated in full software or product development cycles preferably using Agile Methodology with past development experience<br/><br/>Proven experience in IT business analysis application solutioning and design and testing<br/><br/>Strong analytical conceptualisation and problem solving skills<br/><br/>Excellent communication skills both oral and written with the ability to pitch ideas and influence stakeholders<br/><br/>Consulting or Business Analysis experience<br/><br/>Business Analysis certification (Certification of Competency in Business Analysis™ (CCBA®) Certified Business Analysis Professional™ (CBAP®)).<br/><br/>Knowledge of or experience in implementing projects in at least one of the following areas (Data Analytics Agile Methodologies Internet and Mobile Technologies Customer Relationship Management Knowledge Management Service Design Cloud Solutioning.</div>
Business Analyst,BMW Group Asia,Singapore| Singapore,2 days ago,37 applicants,https://sg.linkedin.com/jobs/view/business-analyst-at-bmw-group-asia-2233130651?refId=912a46f2-6c35-4262-bcc2-98b4628ddb14&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">We are looking for a Business Analyst to harmonize core business processes and systems in APAC; simplify harmonize automate update and optimize the functions processes and systems required for doing the Retail Lease/Loan business. Modernize business in the APAC markets. Solution will be used by 80% of all employees and all dealer and salespeople in the given markets. Enable innovations like eSignature eContracting and digitalization initiatives (e.g. alternative vehicle and SF sales processes<br/><br/><strong><u>The Main Responsibilities Of a Business Analyst Are<br/></u></strong><ul> <li>Analyse current and future business requirements (REQUIREMENTS ENGINEERING)</li> <br/></ul>Understand current business processes functions and IT realization on a per market level. Derive overall common requirements for new solution. Align with Senior BA and Product Owner to arrive with common understanding of functionality in terms of: necessary supported finance product portfolio business processes and functions regulatory legal and external/internal compliance requirements.<br/><br/>During the project be responsible for analyzing and breaking down complex new requirements often with a large impact on complete business /IT eco-system. Align with senior business analyst and product owner ensure proper and thorough understanding and recommend solution in terms of functional content cost/benefit and realization strategy (timing risk).<br/><ul> <li>Design business functions to realise business processes in underlying IT solution (DESIGN)</li> <br/><br/></ul><strong><u>Design Business Functional Solution (in Support Of Senior BA) Whilst Taking Many Often Conflicting Aspects Into Account Including But Not Limited To The Following<br/><br/></u></strong><li> (user/customer) usability and ease-of-use (user interface ergonomics)</li><li> Benefit e.g. degree of automation and customer/dealer self-service process execution time process quality and reliability (exception handling) processing monitoring process steering process controls number of process exceptions data quality)</li><li> Maintainability – breadth and width of configurability and parametrization</li><li> Cost including assessment of alternative IT realization solution</li><li> Potential realization of functions in preparation for anticipated need (“build for today design for tomorrow)</li><li> Compliance to external and internal regulations law and guidelines e.g. credit bureau regulations Internal Control Systems data protection law consumer protection law. This includes aspects like segregation of duties role and rights data encryption data masking and archiving audit trail fraud avoidance etc.</li><li> time to realization</li><li> degree of risk e.g. disruption to ongoing business operations customer dissatisfaction dealer complaints escalations with regulatory body inaccurate accounting.<br/><br/></li>Furthermore the BA must work closely with IT colleagues to ensure that the functional design also sustainably meets non-functional requirements e.g. scalability (performance under load) availability (24x7) security reliability IT operations (monitoring incident management system deployment system configuration). Ensure holistic design optimum balancing functional non-functional architectural compliance and cost requirements.<br/><br/>Ensure design is properly documented i.e. traceability of requirement to design ensure knowledge transfer ability to supply external auditors full explanation on how solution functions ensure documentation has proper basis to record future changes history of past changes (change audit trail).<br/><ul> <li>Align with external vendors/partners (VENDORS)</li> <br/></ul>Discuss and align solutions with markets region HQ and vendor to realise best solution for BMW in support of senior BA.<br/><ul> <li>Functional Testing (TEST REQUIREMENTS TRACEABILITY)</li> <br/></ul>Work closely with test team to align and support test case design. Support creation of end to end test scenarios with market functional owners.<br/><ul> <li>Third Level Support / Solving complex live issues (3rd LEVEL PROBLEM RESOLUTION)</li> <br/></ul>In some cases BA must support analysis of problems with live systems which could not be resolved by first and second level support structures. Typically such issues occur infrequently but need assistance in determining the cause of issue and to ascertain whether issues are due to an underlying flaw in the original design.<br/><br/>Work Experience and Requirements:-<br/><ul> <li>At least 3 - 5 years of professional experience preferably in financial services banking or insurance industry. Extensive experience in business/IT projects or operations </li> <li>Ideally in designer process/quality management IT test or management role </li> <li>Working in teams distributed across multiple locations and countries </li> <li>illustrate deep understanding and ability to design/change complex operational business processes)</li> <li>Knowledge of the relevant regulations law and compliance and ability to incorporate these aspects into the development of optimal business processes.</li> <li>Good Financial mathematics &amp; numerical skills</li> <li>Ergonomics (user interface design)</li> <li>Banking &amp; Financial Services knowledge ( industry trends and developments organization &amp; controls business &amp; IT regulations and law risk management tax treatments accounting treatments etc.)</li> <li>Experience working in the Car industry trends competitive landscape</li> <li>Knowledge of internet mobile technology and digitalization solutions</li> <li>Very good knowledge and understanding of IT architectures and system integration paradigms</li> <li>IT landscape management. IT security. Relational databases &amp; SQL</li> <li>Scalable IT architectural fundamentals for online business</li> <li>Analytical skills and objectivity. Strong ability to go from abstract to detailed level.</li> <li>Problem Solving and continuous improvement skills (e.g. 6 Sigma DMAIC etc)</li> <li>Test methodology processes and tools</li> <li>Fluent business English. Additional Asian languages would be a plus.</li> <li>Experience in change rollout test management and training</li> <li>Extensive experience and knowledge with using diverse design and project methodologies and tools</li> <li>Excellent communication rhetorical and conflict resolutions skills also in a multi-cultural context</li></ul></div>
