Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Intern| Data Scientist - Computer Vision (Nov2020 - Feb2021),Gojek,Singapore| Singapore,2 days ago,63 applicants,https://sg.linkedin.com/jobs/view/intern-data-scientist-computer-vision-nov2020-feb2021-at-gojek-2170960959?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>About The Role<br/><br/></u></strong>As an Intern you will use statistics and machine learning to power product and business decisions at scale. Some of the projects that you will work on include driver allocation food recommendations and surge pricing.<br/><br/>What You Will Do<br/><ul><li>Work closely with business and product partners to understand how to leverage data science</li><li>Work on data exploration to support feature engineering or provide business insights</li><li>Build data pipelines to add new features to existing models</li><li>Work on stories to add new functionality to existing data science systems</li><li>Build models that improve business and product outcomes<br/></li></ul>What You Will Need<br/><ul><li>Currently pursuing Bachelor's or Masters in Mathematics/ Statistics/ Computer Science or any other related discipline</li><li>Ability to code in at least one of the following: GoLang Python Java Scala Clojure</li><li>Previous internship experience in Data Science</li><li>Ability to understand and apply statistical concepts/ engineer features that feed into machine learning models</li><li>Knowledge of a variety of machine learning algorithms/ how to select tune and validate a model</li><li>Understanding in SQL and have built data pipelines</li><li>Knowledge on how to work in a collaborative environment: Git</li><li>A Deep interest and passion for Data Science<br/><br/></li></ul><strong><u>About The Team<br/><br/></u></strong>Gojek Data Science team works on some of the most interesting problems in transport logistics and economics. We leverage on machine learning to build data products for ride-hailing logistics food delivery and payments. From selecting the right driver to dispatch to dynamically setting prices to serving food recommendations to forecasting real-world events hundreds of millions of orders per month across more than 20 products are all driven by machine learning.</div>
Intern| Data Science,Yara International,Singapore| Singapore,1 day ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/intern-data-science-at-yara-international-2172548859?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">We at Yara are part of a global network collaborating to profitably and responsibly solve some of the world's key challenges - resource scarcity food insecurity and environmental change.<br/><br/><strong><u>About The Unit<br/><br/></u></strong>There are more than 500 million smallholder farms globally. 2.5 billion people depend on Smallholder Communities for their food and livelihoods. Smallholder regions are characterized by low living standards high rates of illiteracy and low agricultural productivity. Yara's mission is "Responsibly Feed the World and Protect the Planet". Key to achieving this is enabling thriving Smallholder Communities. At Yara the Smallholders Digital Team is part of the Crop and Digital Solutions Unit.<br/><br/><strong><u>About Crop And Digital Solutions<br/><br/></u></strong>Yara aims to be the crop nutrition company for the future and is leading the development of sustainable agriculture and digital tools to contribute to solving global agricultural challenges. We have a worldwide presence with sales teams in ~150 countries and around 17000 employees. Yara Farming Solutions will lead the transformation towards more sustainable and efficient food production by innovating our offerings and the way we work. <strong>Crop and Digital Solutions</strong> is responsible developing and scaling new “on-farm” digital and integrated tools and solutions for an efficient and transparent food system.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><li>Support the development of the data resources of the analytics and insights side of the smallholder solutions.</li><li>Research new ways to interpret and utilise the data resources to provide meaningful actionable insights.</li><li>Support cross-functional teams with different parts of the development centre to support the data needs of different teams.</li><li>Support the development testing and implementation of various scripts algorithms and code when necessary.<br/><br/></li></ul><strong>Profile<br/></strong><ul><li>Strong personal/professional interest in the LSM segments (developing countries low-income markets etc) and agriculture in general.</li><li>Mathematics Statistics background and exposure to data science concepts.</li><li>Prior experience with with at least one of Python development data analysis or machine learning.<br/><br/></li></ul><strong><u>Additional Information<br/><br/></u></strong>We strive to reflect the diversity in society and encourage all qualified applicants from all background to apply. We are committed to creating a work environment that fits gender equality and allows combining career progress with the needs of a family or other personal circumstances<br/><br/><strong>Why us?<br/></strong><ul><li>Evolving tech development division of an established agricultural products and services company.</li><li>Explore and develop digital software hardware products which provide value to farmers smallholder communities and the value chain.</li><li>Be part of our mission to build sustainable solutions that benefit humanity and the environment.</li><li>Full-time permanent and freelance contract options available with competitive remuneration + benefits.</li><li>Support for personal development training and continuous learning.</li><li>Commitment to using new technologies and frameworks meetups and knowledge sharing.<br/><br/></li></ul><strong>Apply no later than<br/><br/></strong><strong>Knowledge grows through differences<br/></strong>Yara is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer. We believe that creating a diverse and inclusive work environment is not only the right thing but also the smart thing to do. To deliver on this Yara has firmly anchored Diversity &amp; Inclusion (D&amp;I) as one of our top 7 strategic actions and has more than 400 employees worldwide involved in D&amp;I ambassador networks.</div>
CRISP - Data Scientist,Deloitte,Singapore| Singapore,3 weeks ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/crisp-data-scientist-at-deloitte-2149541838?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>Responsibilities</strong>: </p> <ul><li>Participate in designing executing and delivering advisory services to high growth organizations with a diverse team consisting of data scientists data architects software developers information designers and business/industry subject matter experts </li><li>Participate in the full cycle of data science process from problem definition data wrangling to machine learning modeling and collaborate in a cross-functional team to ensure quality of models and analysis </li><li>Play a supporting role in the overall sales process by being the subject matter expert in data science topics and processes </li><li>Work on different components of data science and engineering projects including client projects development of machine learning platform and communication with internal stakeholders and external clients. </li></ul> <p>  </p> <p><strong>Requirements</strong>: </p> <ul><li>Bachelor’s degree in a quantitative discipline including Econometrics Marketing Science Decision Sciences Applied Mathematics Statistics or other relevant quantitative fields </li><li>Strong interest in applied machine learning and statistical modeling. </li><li>Basic knowledge in predictive modeling clustering natural language processing and/or other machine learning techniques preferred. </li><li>Prior exposure to the field of data science working with structured data is preferred in particular applying supervised and unsupervised machine learning techniques to applied problems such as customer segmentation and fraud detection or risk analysis. </li><li>Working knowledge of Python is required</li></ul></div>
Data Scientist,Siemens,Singapore| Singapore,nil,52 applicants,https://sg.linkedin.com/jobs/view/data-scientist-at-siemens-2173729844?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">The demand for mobility is growing all over the world. Transporting people and goods to all corners of the earth presents challenges for the infrastructure of national economies. This applies in particular to the transport and logistics facilities of cities: Will cities be able to solve the problems caused by increasing road traffic? Can public transportation help them avoid total gridlock? How can railway operators increase the efficiency and safety of their systems? How can rail and road traffic be integrated? How can logistics supply chains be further optimized as freight volumes continue to increase steadily?<br/><br/>The Mobility Division provides answers to all of these questions with its comprehensive portfolio; because modern interconnected and IT-based mobility is the core competency of its five business units: Mobility Management Turnkey Projects &amp; Electrification Rolling Stock and Customer Services. They have the know-how to make road traffic flow more smoothly and quickly make trains more environmentally friendly and efficient make train schedules and freight shipments more reliable. We work with our customers to develop optimal solutions to help overcome their challenges.<br/><br/>We are looking for talent to work on these challenges.<br/><br/><strong>What are my job responsibilities?<br/><br/></strong>This position will be responsible for taking on projects with clients formulate KPIs and develop consistent quality work to help drive customer’s decisions.<br/><br/>The ideal candidate must have strong experience using a variety of data mining/data analysis methods using a variety of data tools building and implementing models using/creating algorithms and creating/running simulations. The successful Data Scientist will work alongside the existing Lead Data Scientist in the research selection customization and application of Machine Learning and Deep Learning models applied to disparate IIOT data sources.<br/><br/><ul> <li>Accessing and analyzing data to generate insights and make proactive recommendations.</li> <li>Formulating success metrics KPIs and creating dashboards/reports to monitor them.</li> <li>Designing and analyzing experiments to test new ideas for improving the customer business.</li> <li>Developing models and data-driven solutions that add value to the mobility market.</li> <li>Work in a collaborative team environment with other highly skilled specialists in statistics machine learning and software engineering.</li> <li>Implement analytical models into production by collaborating with software developers and machine learning engineers</li> <li>Develop customer-oriented solutions to diagnose Rolling Stock and Infrastructure assets and to perform preventive maintenance actions</li> <li>Promote a Data-driven customer centric culture at Siemens.</li> <br/></ul><strong>What do I need to qualify for this role?<br/><br/></strong><ul> <li>Minimum 2 years of experience in a relevant role.</li> <li>Strong problem-solving skills with an emphasis on analytics solutions development.</li> <li>Interest and passion for big data technologies (e.g. Hadoop Mahout Pig Hive);</li> <li>Experience using statistical computer languages (R Python SQL etc.) to manipulate data and draw insights from large data sets.</li> <li>Deep knowledge in data science methods (e.g. supervised and unsupervised learning time series analysis in time and frequency domain deep neural networks time series prediction Bayesian networks and deep learning in the field of predictive maintenance …).</li> <li>Exposure/ experience to tools &amp; Infrastructure such as Jenkins GITHUB Eclipse is preferred.</li> <li>Experience working in an Agile development environment</li> <li>Experience in Predictive Maintenance</li> <li>Promote communication and collaboration</li> <li>Transfer knowledge to younger data scientists.</li> <li>Degree or above in a quantitative discipline: Computer Science Statistics Applied Mathematics Operations Research Engineering Economics etc.</li> <br/></ul>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status.<br/><br/><strong>Organization:</strong> Siemens Mobility<br/><br/><strong>Company:</strong> Siemens Mobility Pte Ltd<br/><br/><strong>Experience Level:</strong> Experienced Professional<br/><br/><strong>Job Type:</strong> Full-time</div>
Data Science internSHIP,Procter & Gamble,Singapore| Singapore,1 week ago,68 applicants,https://sg.linkedin.com/jobs/view/data-science-internship-at-procter-gamble-2183796599?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Description<br/><br/></u></strong>Are you passionate about taking up challenges?<br/><br/>Are you curious to know how a global industry leader operates?<br/><br/>Are you looking to start building your professional and social network before graduating?<br/><br/>Are you ready to make a lasting impact by accomplishing business-critical assignments using data and technology?<br/><br/>We welcome you to apply and join P&amp;G Data Science Internship Program in our General Office in Singapore. Data Scientist (DS) at P&amp;G are a specialist group belonging to the Data Science &amp; Analytics team in IT Department. DSs provide the technical expertise and data-driven insights about consumer retailer and market.<br/><br/>We are seeking talents who have passion to lead and make things happen analytical thinkers problem solvers and excellent communicators.<br/><br/><strong><u>What We Offer<br/></u></strong><ul><li>You have responsibilities as of Day 1 – you will be given specific real-life projects and responsibilities e.g. retail analytics consumer analytics media analytics etc. You take ownership of your project from the beginning.</li><li>Continuous mentorship – you will work with passionate people and receive both formal training as well as day-to-day mentoring from your manager and technical coach.</li><li>You gain phenomenal real-life experience in a world-class work environment that uses state-of-the-art technology.</li><li>Work and be part of a dynamic and supportive environment – employees are at the core we value every individual and support initiatives promoting agility and work/life balance.</li><li>We love flexibility. You can arrange your work schedule based on your personal needs; you will experience true support for work/life effectiveness and your long-term well-being.<br/></li></ul><strong><u>Qualifications<br/></u></strong><ul><li>Ability to query and analyze data on a big data environment</li><li>Ability to own the development of advanced analytical methods mining vast amount of data using statistical methods or machine learning models to provide meaningful insights for solving business problems or finding opportunities for profitable growth</li><li>Bachelors or Masters (preferred) in Business Analytics or Statistics or Engineering or Computer Science or Physical Sciences Preferred Coursework / Experience (not a requirement)</li><li>Programming / Database Languages; Python R SQL</li><li>Participated in Kaggle or other data analytics competition<br/></li></ul><strong><u>About Us<br/><br/></u></strong>We produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours it is paramount our leaders are able to lead with courage the vast array of brands categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted quality leadership brands including Always® Ariel® Gillette® Head &amp; Shoulders® Herbal Essences® Oral-B® Pampers® Pantene® Tampax® and more. Our community includes operations in approximately 70 countries worldwide.<br/><br/>Visit http://www.pg.com to know more.<br/><br/>Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being “in touch” so we craft brands and products to improve the lives of the world’s consumers now and in the future. We want you to inspire us with your outstanding ideas.<br/><br/>We are committed to providing equal opportunities in employment. We do not discriminate against individuals on the basis of race color gender age national origin religion sexual orientation gender identity or expression marital status citizenship disability veteran status HIV/AIDS status or any other legally protected factor.</div>
Data Scientist Intern,Dathena,Singapore| Singapore,1 month ago,39 applicants,https://sg.linkedin.com/jobs/view/data-scientist-intern-at-dathena-2176179458?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong>Dathena Science</strong> Dathena is a Swiss and Singaporean company developing data governance software based on machine learning algorithms. Dathena is the most complete and accurate data governance platform and is the only solution to easily classify and manage data with this level of accuracy while helping companies to comply with regulations. Using cutting edge machine learning technology Dathena sift through all unstructured data allowing to regain full control on company’s information.<strong> Job Purpose </strong> -We are looking for a Data Scientist Intern that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products.-Your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our products by improving and extending the features used by our existing classifier by developing internal testing procedures and enhancing our system for automated fraud detection.-While it is essential that the Data Scientist Intern brings efficient and effective behavior to increase the productivity of the organization is it also critical that the intern retain the creative spark that drives Dathena’s vision and values.-This position requires to be patient and perseverant in order to discover issues with huge amounts of data and resolve them by adding new features to an existing validation tool.-This is an iterative and on-going work.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><li> Selecting features building and optimizing classifiers using machine learning techniques</li> <li> Data mining using state-of-the-art methods</li> <li> Extending company’s data with third party sources of information when needed</li> <li> Enhancing data collection procedures to include information that is relevant for building analytic systems</li> <li> Processing cleansing and verifying the integrity of data used for analysis</li> <li> Doing ad-hoc analysis and presenting results in a clear manner</li> <li> Creating automated anomaly detection systems and constant tracking of its performance<br/></li></ul><strong><u>Skills &amp; Qualifications<br/></u></strong><ul><li> Strong programing skills in Scala/Python/Spark</li> <li> Experience with at least one highly available data store (SQL Hadoop MySQL etc.)</li> <li> Knowledge in Machine Learning Statistics Natural Language Processing</li> <li> Knowledge in Deep Learning is preferable</li> <li> A strong passion for empirical and independent research</li> <li> Ability answering hard questions with data<br/></li></ul><strong><u>Soft Skills<br/></u></strong><ul><li> Fluent in English</li> <li> Data-oriented personality</li> <li> Exceptional Oral and Written Communication Skills</li> <li> Time management</li> <li> Interpersonal Skills</li> <li> Critical Thinking</li> <li> Presentation Skills</li> <li> Proactive and interested in the area of data security and governance. This temporary position may be converted into a full-time job.<br/></li></ul><strong> Working conditions <br/></strong><ul><li> The Data Scientist Intern will be part of a highly qualified and dynamic team (PhD) where you will be able to learn and improve himself. </li> <li> The Data Scientist Intern must fully embrace the team spirit of a young and innovative Start-up. They must be able to adapt to a multi-cultural environment. Travel and remote location might be required.</li> <li> <strong> Location</strong> : Singapore R&amp;D Office</li> Please take note that only shortlisted candidates will be notified.Apply for this job</ul></div>
Intern| Data Analyst,Rakuten Viki,Singapore| Singapore,3 days ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/intern-data-analyst-at-rakuten-viki-2149755935?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p>Rakuten is Japan's leading Internet services company a largest e-commerce company in Japan and the third largest e-commerce marketplace worldwide with a combined membership of almost 1.3 billion. Rakuten has 70+ businesses and services spread across 30 countries and regions worldwide this includes Viber eBates Lyft and more reaching a global audience of nearly 1 billion users. Rakuten is an Eco-system of online services providing a variety of consumer and business-focused services including e-commerce e-reading travel banking securities credit card e-money portal and media online marketing and professional sports.</p><p> </p><p>Rakuten Viki is a premier global entertainment streaming site where millions of people discover and consume primetime shows and movies subtitled in more than 200 languages by our community of fans. With billions of videos viewed and more than 1 billion words translated Viki brings global entertainment to fans everywhere!</p><p> </p><p>At Rakuten Viki our engineering teams utilize leading-edge technologies to build a world class product. </p><p>We are seeking a smart and hard-working <strong>Data Analyst intern</strong> for our Product Team. At Viki we handle terabytes of data to help us understand our users and learn about content trends. Our team is first and foremost responsible for collecting processing and organizing these large amounts of data using advanced and scalable techniques. They then analyze these complex datasets to generate deeper insights and help various teams at Viki effectively utilize it for crucial decision making.</p><p>You will join a diverse and talented team with great ambitions to change the digital entertainment landscape. If you are inspired to take up new challenges and learn what it takes to be a great Data Analyst come be a part of our Rakuten Viki team in Singapore.</p><p><br/></p><p><strong>Key Responsibilities Include:</strong></p><ul><li>Create useful reports and dashboards to help generate insights for Product and Growth teams from the data we collect</li><li>Analyse results of A/B tests and data collected from experiments	</li><li>Work with engineers to ensure that data collection has been correctly implemented</li><li>Collaborate with Product Managers to analyse performance of new features and help with research for upcoming features</li></ul><p> </p><p><strong>Requirements:</strong></p><ul><li>Pursuing BSC/MSC in Statistics Business Analytics Data Science Computer Science or a related discipline</li><li>Outstanding quantitative and analytical skills</li><li>Proficient in writing complex SQL queries</li><li>Deep understanding of the usage and interpretation of statistical methods</li><li>Dabbled in Ruby R or Python</li><li>Familiar with data visualization tools such as Tableau Looker and Qlikview</li></ul><p> </p><p><em>Rakuten is an equal opportunity employer. We do not discriminate based on race color ethnicity ancestry national origin religion sex gender gender identity gender expression sexual orientation age disability veteran status genetic information marital status or any legally protected status. Women minorities individuals with disabilities and protected veterans are encouraged.</em></p></div>
Junior Data Scientist,Artefact,Singapore| Singapore,2 weeks ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/junior-data-scientist-at-artefact-2151361898?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>What you will be doing: Key responsibilities</strong></p><p><br/></p><p>As a Data Scientist your role will encompass:</p><p><br/></p><p>●     Conducting ambitious projects in the transformation of clients through data</p><p>●     Collaborating with the other Divisions (Activation Creativity and Strategy) to provide comprehensive services to your clients</p><p>●     Developing privileged relationships with our clients using your technical abilities to assist in the transformation of their marketing department</p><p><br/></p><p>Among your responsibilities as a Data Scientist you will be responsible for:</p><p><br/></p><p><strong>Performing data projects </strong></p><p><br/></p><p>●     Securing delivery on your projects </p><p>●     Communicating your work and achievements among the team</p><p>●     Working closely with your Consulting counterpart to build and maintain strong relationships with your clients and best understand their needs</p><p>●     Ensuring that your solutions are bringing values to the client problematic</p><p>●     Being a good team player knowing your role and responsibility in the global ambition</p><p><br/></p><p><strong> Being a great tech person</strong></p><p><br/></p><p>●     Demonstrating the skill and credibility required to ensure the success of our clients’ initiatives</p><p>●     Researching and developing new technical approaches to address problems efficiently</p><p>●     Sharing best practices and contributing to Artefact’s institutional knowledge</p><p>●     Embodying Artefact’s values and inspiring others to do the same</p><p><br/></p><p><strong> What we are looking for</strong></p><p><br/></p><p>●     A Master's degree in machine learning mathematics computer science or related fields</p><p>●     Hands-on experience developing and applying data-driven solutions in a corporate or consulting setting preferably in a consumer marketing context (experience in the web industry is a plus)</p><p>●     Strong knowledge of data processing data modeling algorithms and data architecture</p><p>●     Intellectual curiosity and excellent problem-solving skills including the ability to structure and prioritise an approach for maximum impact</p></div>
Data Scientist (Artificial Intelligence Platforms),GovTech Singapore,Singapore| Singapore,2 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/data-scientist-artificial-intelligence-platforms-at-govtech-singapore-2192759492?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an "outside-in" view putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications and facilitate collaboration with citizens and businesses to co-develop technologies.<br/><br/>Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering.<br/><br/><strong><u>Who We Are<br/><br/></u></strong>GovTech's Data Science and Artificial Intelligence (DSAI) division uses technology and data to help deliver high-quality digital services to citizens and businesses in Singapore. We build software products for government agencies to better understand and use their data to improve operations and decision making.<br/><br/><strong><u>What The Role Is<br/><br/></u></strong>Data scientists in GovTech help crack challenging problems through the use of machine learning and other computational methods on government data. You would have the opportunity to work across domains like citizen engagement healthcare transport and operations.<br/><br/><strong><u>As a Data Scientist You Will<br/></u></strong><ul><li> Improve public service delivery and policy by extracting insights from government data</li><li> Work closely with product managers data scientists and engineers to develop test and deploy new data products</li><li> Write production-quality code and work with engineers to put models into operation</li><li> Learn new things and impart knowledge with other team members in a multi-disciplinary team<br/></li></ul><strong><u>Additionally More Senior Data Scientists Will Be Expected To<br/></u></strong><ul><li> Establish best practices</li><li> Share your expertise and mentor other data scientists</li><li> Help with recruiting.<br/></li></ul>You are not just here to write code but also to figure out what we should be building and how we should build it.<br/><br/><strong><u>What It Is Like Working Here<br/><br/></u></strong>We build products that serve a variety of agency users who use them to solve highly meaningful problems pertinent to our society from transportation to education to healthcare. The public sector is full of opportunities where even the simplest software can have a big impact on people’s lives. We are here to improve how we live as a society through what we can offer as a government.<br/><ul><li> Rapid Prototyping - Instead of spending too much time debating ideas we prefer testing them. This identifies potential problems quickly and more importantly conveys what is possible to others easily.</li><li> Reliable Productization - To scale an idea a prototype or a Minimum Viable Product to a software product we scrutinize and commit to its usability reliability scalability and maintainability.</li><li> Ownership - In addition to technical responsibilities this means having ideas on how things should be done and taking responsibility for seeing them through. Building something that you believe in is the best way to build something good.</li><li> Continuous Learning - Working on new ideas often means not fully understanding what you are working on. Taking time to learn new architectures frameworks technologies and even languages is not just encouraged but essential.<br/></li></ul><strong><u>What We Are Looking For<br/><br/></u></strong>We work mostly in Python JavaScript and Scala. However we do not require experience in any specific programming language or technology. Proficiency in at least one language and the ability to learn is what matters to us.<br/><br/><strong><u>We Look For People Who<br/></u></strong><ul><li> Have experience working with data and machine learning to solve problems</li><li> Have a demonstrated ability to build software</li><li> Can write code to solve abstract problems</li><li> Can talk and reason about code with other engineers</li><li> Take the initiative to make things happen</li><li> Want to work for the public good.<br/></li></ul></div>
NLP Data Scientist ,Evonik,Singapore| Singapore,2 days ago,52 applicants,https://sg.linkedin.com/jobs/view/nlp-data-scientist-at-evonik-2170924265?refId=3ee727ff-c407-4b16-8b4e-c85fef26df89&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>RESPONSIBILITIES</strong> </p><p><br/></p><ul><li>Develop cutting edge text mining text analytics and NLP machine learning algorithms and NLP technique. It's especially designed to extract key information from textual data related to specialty chemical industries</li><li>Create model comparison benchmarks and model selection processes</li><li>Support the engineers in model optimization and productization</li><li>Research and develop the NLP techniques to categorise the text data for systematic access and research and summarise the text by natural language processing for a technology group </li><li>Documentation which clearly explains how algorithms have been implemented verified and validated. </li><li>ML/AI in focus for position: NLP techniques entity extraction topic modeling named entity recognition document understanding object detection computer vision etc. And unique techniques of lower data text environment</li></ul><p>         o   Embedding ML/AI in core processes (human decisions enhanced with machine insights)</p><p>         o   Implement ML models or its combination</p><p>         o   Creating proprietary ML models where necessary</p><p>         o   Accelerates training of ML models via implementing phased end-to-end pilot projects in </p><p>              an agile manner.</p><p>         o   Progressively test and train ML/AI capabilities to learn and adapt the best model for </p><p>              Evonik’s problem statements.</p><p>         o   Develop technical concept with a focus on NLP </p><p><br/></p><ul><li>For prototyping front and back-end requirements:</li></ul><p>         o   Understanding of API and interfaces to sub-systems</p><p>         o   Develop and influence the network infrastructure for innovation projects. </p><p>         o   Work directly with data (either available data or creating sourcing/suggestion of data </p><p>               source) to derive actionable insights.</p><p><br/></p><p><br/></p><p><strong>REQUIREMENT</strong></p><p><br/></p><ul><li>Programming skills (Python C++ shell scripting) Mathematics (Linear Algebra Calculus etc); Natural Language Processing (NLP) Techniques ( like Attention mechanism Transformer word embedding tokenization RNN and so on); NLP Applications (Named Entity Recognition Text Summarization Dependency Parsing etc) </li><li>PhD degree and/or postdoctoral experience in computer science engineering statistics mathematics and allied disciplines. (This position opens to fresh PhD graduate)</li><li>Strong interest in researching and implementing new ML related technologies for NLP</li><li>Minimum 5 years' hands-on experience in Machine Learning/ Artificial Intelligence projects preferable to be focused on NLP or Speech Recognition technologies</li><li>Proven track record of completing multiple data science projects end-to-end; from idea generation objectives formulation to implementation</li><li>Experienced in Text mining and text abstraction with NLP concepts</li><li>Experience in mentoring junior engineers and setting technical direction related to NLP</li><li>Demonstrated collaborative leadership skills</li></ul><p><br/></p><p><strong><u>APPLICATION NOTE</u></strong></p><p>Interested applicant please apply to the position with your updated CV in MSword or PDF format together with the following information.</p><p><br/></p><ol><li>Current Package</li><li>Reason for Leaving</li><li>Notice Period</li><li>Expected Basic Salary</li></ol></div>
