Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Human Resource & Administrative Office,New Asia Assets,Singapore| Singapore,3 days ago,40 applicants,https://sg.linkedin.com/jobs/view/human-resource-administrative-office-at-new-asia-assets-2225316338?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Responsibilities<br/></u></strong><ul> <li>Develop review and implement HR strategies and policies that support business goals.</li> <li>Involved in full recruitment cycle from posting of job advertisements to shortlisting and preparation of offer package.( posting of job advertisements scheduling job interview conducting pre-screening interviews and reference checks.)</li> <li>Prepare employment contracts certification letters and other HR related letters.</li> <li>Manage on-boarding and off-boarding activities</li> <li>Maintain organisation's employees' database</li> <li>Responsible in work pass application process</li> <li>Organise activities and events to increase employee bonding and engagement.</li> <li>Manage employee relations including grievances and disciplinary issues.</li> <li>Assist in annual performance management process</li> <li>Identify training needs and sourcing for relevant programs</li> <li>Other ad hoc HR &amp; Administrative functions as and when required</li> <li>Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Human Resource Management or equivalent.</li> <li>At least 5 Year(s) of working experience in the related field is required for this position.</li> <li>Preferably Senior Executive specialized in Human Resources or equivalent.</li></ul></div>
Human Resource Assistant,Woh Hup (Private) Limited,Singapore| Singapore,4 weeks ago,40 applicants,https://sg.linkedin.com/jobs/view/human-resource-assistant-at-woh-hup-private-limited-2207049554?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">The Human Resource Assistant is responsible for handling the daily administrative and HR duties of an organization ensuring the efficient performance of the department. They assist HR Managers with record maintenance and provide clerical support to other employees.<br/><br/>A summary of the responsibilities of this position are and not limited to as follows:<br/><ul> <li>Timely Data entry</li> <li>Maintaining proper and accurate records.</li> <li>Adhoc administrative duties assigned.</li> <br/><br/></ul><strong><u>Qualifications And Requirements<br/></u></strong><ul> <li>Highly proficient in MS Excel and related business and communication tools.</li> <li>Excellent written and verbal communication skills.</li> <li>Ability to accurately follow instructions</li> <li>Attention to details</li></ul></div>
Human Resource Executive Assistant,EXPRESSIONS LTD,Singapore| Singapore,5 days ago,60 applicants,https://sg.linkedin.com/jobs/view/human-resource-executive-assistant-at-expressions-ltd-2218799019?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Unveiled in 1989 Expressions is a recognized pioneer in the beauty industry. It adopts the philosophy of total wellness offering a wide range of facial and slimming treatment as well as spa therapy. All of which are supported by high technology equipment and service-excellence standards.<br/><br/>This position will be involved in the Company’s day to day HR and operations function by providing clerical and administrative support to the Human Resource Managers and Executives and acting as the liaison with employees regarding HR related matters.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul> <li>Provide direct support to employees on HR-related matters</li> <li>Maintain all employee records such as employment status annual/medical leave records and any other employee benefits</li> <li>Facilitate payroll processing by generating timesheet and tracking leave usage</li> <li>Generate reports from point-of-sales system to calculate sales commissions</li> <li>Assist in resolution of any payroll and commission errors</li> <li>Process employee medical reimbursement</li> <li>Participate in recruitment process by posting job advertisements processing job applications scheduling job interviews work pass applications preparing new employee file and filing of employment contracts and conducting orientation</li> <li>Oversee manpower planning and coordination</li> <li>Liaise with insurance vendor for employee insurance application and termination</li> <li>Provide administrative support in application of government work grants and programme</li> <li>Monitor and manage uniform stock and assign uniform to new and existing staff</li></ul></div>
Human Resource Generalist #SGUnitedTraineeships,Thermo Fisher Scientific,Singapore| Singapore,2 weeks ago,25 applicants,https://sg.linkedin.com/jobs/view/human-resource-generalist-%23sgunitedtraineeships-at-thermo-fisher-scientific-2207288359?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">This position (Trainee) reports to the Human Resources (HR) Manager in a rotation areas and interfaces with stakeholders in the function and HR staff. The Trainees will be on a 9 months rotation program within Field HR Talent Acquisition and Colleague Service teams (rotate every 3 months). The Trainees will be able to learn and understand basic knowledge and be able to practice HR professional tasks during the 9 months training program.<br/><br/>During the 9 months rotation program the Trainee will be involved in:<br/><ul><li>Talent Acquisition process</li><li>Hands-on in Hiring and Firing activities and documentation</li><li>Facilitate programs/ activities to drive employee engagement and performance</li><li>Employee orientation and training logistics and recordkeeping</li><li>Practice HR services policies and programs</li><li>Support line managers on all HR related matters<br/><br/></li></ul><strong><u>Requirements<br/></u></strong><ul><li>Degree/Diploma in Human Resource Management or equivalent </li><li>Proficient in MS Office (PowerPoint and Excel) </li><li>Duration of traineeship: 9 months</li></ul></div>
HR and Admin Assistant #SGUP,Hubble,Singapore| Singapore,3 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/hr-and-admin-assistant-%23sgup-at-hubble-2225964186?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Who Are We Looking For<br/><br/></u></strong>We are looking for a Finance and HR Administrative superstar with a passion for office administration excellence. You are kind and positive. You have a meticulous attention to detail and love to keep things in order. You love to organise and keep a purposeful structure in all you do.<br/><br/><strong><u>Your Current Mood<br/><br/></u></strong>You have spent the past 3-5 years in a slow and bureaucratic workplace. You find it stifling and you are starting to feel that you can contribute more. You want to make an impact at work and make a dent in the universe. You want to be in a dynamic fun and energetic environment. You feel that you have talents in abundance but they are not recognised. You want to step up to the plate now. You want to bat for home run and help build up the office administration of a fast growing company - Hubble.<br/><br/><strong><u>What You Will Be Doing<br/><br/></u></strong>You will be in charge of the overall HR/Finance/Admin administration work at Hubble. We will give you exposure to client side administrative work whereby you will work with our Key Account Managers and Business Development Managers to help support client success. You will be given exposure to learn more about the business side of things and also client side exposure.<br/><ul><li> We will give you exposure to client side administrative work whereby you will work with our Key Account Managers and Business Development Managers to help support client success. </li><li> You will be given exposure to learn more about the business side of things and also client side exposure. </li><li> Overall in charge of all HR/Finance/Business Support administrative matters. </li><li> To provide day-to-day clerical and office administrative support to the team. </li><li> Exposure to client side administrative work such as supporting sales and key accounts department in updating CRM software client account set ups invoicing scheduling preparation of meetings and other business administrative work as required <br/><br/></li></ul><strong><u>What Hubble Will Give You<br/><br/></u></strong>Hubble is built by a team of talented driven and ambitious individuals. We do not subscribe to conventions. We do not let history and traditions dictate and limit our dreams to shape the world. We adopt the same mindset with our hiring. We are looking for the best and we want to bet on you. If you mindset is right we promise you the ride of your life.<br/><br/><strong><u>Who Will You Be Working With<br/><br/></u></strong>If you connect with any of the description below please apply immediately:<br/><ul><li> Purpose driven </li><li> Hungry ambitions and self-motivated </li><li> Meritocratic results/performance &gt; age/bureaucracy </li><li> Resourceful independent chart our own destiny </li><li> Determined perseverance and hard working </li><li> Creative innovative out of the box <br/></li></ul>Yes the above is everyone of us at Hubble.<br/><br/><strong><u>What We Need From You<br/></u></strong><ul><li> Good communication and organizational skills. </li><li> Good interpersonal skill and able to interact with all level of staff. </li><li> Able to work independently and multi-task efficiently. </li><li> Positive work attitude and display initiative in problem solving. <br/><br/></li></ul><strong><u>About Hubble<br/><br/></u></strong>Hubble is a leading technology company focusing on construction and engineering industry. We are on a mission to build the world’s first autonomous construction sites by automating and trading the 4M (Man Machine Material Money) resources.<br/><br/>Our solutions help digitise all your work processes and connect all key project stakeholders - developers consultants fabricators contractors and facility managers - onto an all-in-one platform - The Hubble Platform.<br/><br/>Build faster and cheaper and with the highest quality and safety standards with Hubble’s impactful technologies. Let’s transform the way we build our cities for a better tomorrow. Today. Together. For generations to come.<br/><br/>Visit us at to learn more for #bettercitiesoftomorrow</div>
Human Resource,SNiP,Singapore| Singapore,2 weeks ago,38 applicants,https://sg.linkedin.com/jobs/view/human-resource-at-snip-2202474193?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Responsibilities<br/><br/></u></strong>Assist in Payroll processing<br/><br/>Leave and medical administration<br/><br/>Maintenance of proper filing system<br/><br/>Maintenance of employee records<br/><br/>Undertake any ad-hoc duties when required<br/><br/><strong><u>Requirements<br/><br/></u></strong>Minimum O levels or equivalent<br/><br/>Able to meet deadlines<br/><br/>Meticulous with a high level of integrity<br/><br/>Candidate with HR background/ experience will be an advantage<br/><br/>Fresh graduates are welcomed<br/><br/>Able to start immediately or with short notice</div>
Human Resource Administrator,KMAC INTERNATIONAL PTE. LTD.,Singapore| Singapore,2 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/human-resource-administrator-at-kmac-international-pte-ltd-2218919577?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Jobs Responsibilities<br/></u></strong><ul> <li>Full spectrum of HR and administrations including Recruitment Compensations and Benefits Performance appraisal Payroll Processing implementation of policies staffs discipline/ disputes and other HR related functions.</li> <li>Assist in managing issues pertaining to foreign workers.</li> <li>Assist in managing employee welfare matters.</li> <li>Work passes applications renewal and cancellations.</li> <li>Assist in carrying HR policies and processes</li> <li>Government grants.</li> <li>Handle License renewal (BCA ISO NEA Clean mark Bizsafe etc.)</li> <br/><br/></ul><strong><u>Jobs Requirements<br/></u></strong><ul> <li>Minimum of a Diploma in Human Resource Management or any related discipline is preferred.</li> <li>Minimum of 2 years of relevant experience in cleaning industry.</li> <li>Knowledge of employment laws e.g. Employment Act Work Injury Compensation Act etc.</li> <li>Knowledge of administrative procedure of government agencies.</li> <li>Able to handle full set of payroll.</li> <li>Required language(s): Fluent in speaking and writing in English and Mandarin (in order to liaise with the English &amp; Mandarin speaking associates)</li> <li>High level of integrity and responsibility.</li> <li>Positive working attitude.</li> <li>Good team player.</li> <li>Able to work under tight deadline.</li></ul></div>
Human Resource Manager,Surbana Jurong Private Limited,Central Singapore Community Development Council| Singapore,6 days ago,146 applicants,https://sg.linkedin.com/jobs/view/human-resource-manager-at-surbana-jurong-private-limited-2191785961?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p>As part of our growth we are currently seeking a seasoned HR practitioner to join our HR Team based in Singapore.</p><p><br/></p><p><strong>Responsibilities</strong></p><p> </p><p>You will be the primary interface and strategic HR business partner for assigned business units.  You will work closely with the business supporting their needs across the full spectrum of Human Resources including talent acquisition compensation &amp; benefits performance management learning employee relations and budgeting etc.  You will develop and strengthen partnership with internal and external stakeholders provide advice pertaining to HR issues as well as comprehensive HR solutions to organizational issues proactively.  You will also ensure HR policies are implemented according to established guidelines.</p><p><strong> </strong></p><p>As a Manager you may be required to coach junior Human Resource partners in supporting other business units for the delivery of quality HR services.</p><p><strong> </strong></p><p>In addition you are expected to lead and execute HR initiatives and programs effectively and be involved in continuous process review/ improvement projects.</p><p><br/></p><p><br/></p><p><strong>Requirements</strong></p><p> </p><ul><li>Bachelor’s degree in Business Human resources Management</li><li>At least 20 years’ broad HR experience gained in MNCs or large organizations</li><li>Experience in managing teams</li><li>Well versed in Singapore labour law</li><li>Ability to engage internal and external stakeholders and partners</li><li>Excellent verbal and written communication skills</li><li>Proactive takes initiative able to prioritise and multi-task in a fast-paced environment</li><li>Highly proficient in Microsoft Office applications and HCM tools</li></ul><p> </p><p> </p><p><strong>* Please apply with detailed resume stating current and expected salary.</strong></p><p><strong>* Only shortlisted applicants will be notified.</strong></p></div>
Human Resource Executive,foodpanda,Singapore| Singapore,1 week ago,107 applicants,https://sg.linkedin.com/jobs/view/human-resource-executive-at-foodpanda-2184378193?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Do you love food and convenience put together? Then you just might love foodpanda.<br/><br/>foodpanda is the leading on-demand food delivery company in Singapore bringing thousands of your best loved restaurants online into your home or office - fast! We’re all about bringing on the smartest folks as we continue to grow with an “all hands on deck” environment and hire those who can thrive in a startup culture.<br/><br/>We are looking for an agile and highly-motivated Human Resource Executive who is passionate about people for our team in Singapore. If you are looking for a place where you can gain hands-on exposure and have a direct impact then this may be the place for you! The ideal candidate will have a track record as a significant individual contributor – comfortable working independently whilst working closely with the rest of the stakeholders.<br/><br/><strong><u>About The Job<br/><br/></u></strong>This role will be based in Singapore and will report to the Human Resource Lead. As a Human Resource Executive you will be the liaison between the organization management and employees. This essential role helps ensure that employee needs are met and that every interaction is an opportunity to create a happy environment in the company!<br/><br/><strong><u>Responsibilities<br/></u></strong><ul> <li> Manage daily HR administrative duties and point of contact on HR-related matters </li> <li> Maintain employees’ data in Workday and digital P-files on a timely basis </li> <li> Assist in HRMS migration efforts including data transfer and verification </li> <li> Proactively recommend changes to current processes to ensure effective utilisation of HRMS </li> <li> Conduct onboarding and offboarding processes </li> <li> Ensure compliance with statutory reporting and filing requirements e.g. CPF IRAS MOM NS IRAS and all other government-related claims </li> <li> Administer work passes application/issuance/renewal/cancellation </li> <li> Handle work injury compensation and insurance annual renewal </li> <li> Consistently review workflows and processes with an agile mindset to streamline for greater efficiency and effectiveness </li> <li> Provide support to the HR Operations team in HR initiatives optimisation/innovation projects and strategies </li> <li> Participate in the planning and execution of company events team-bonding activities and various HR initiatives </li> <li> Any other HR projects and administrative duties as assigned </li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li> At least 3-4 years of related working experience in a fast-paced/dynamic/agile environment </li> <li> Possess Bachelor Degree in Human Resource Management </li> <li> Must be well-versed in Singapore’s labour law and relevant legislation </li> <li> Highly proficient in MS Office programs and Google applications </li> <li> Detail-oriented with strong analytical and problem solving skills </li> <li> Possess good people and business acumen </li> <li> Highly pragmatic approach to keep an overview especially under tight deadlines </li> <li> Team player with excellent communication and prioritization skills </li> <li> Enjoy working in a vibrant and fast-paced environment </li> <li> Independent self-driven and meticulous </li> <li> Immediate availability is preferred </li> <br/><br/></ul><strong><u>What We Offer<br/></u></strong><ul> <li> Challenging and fulfilling steep learning curve </li> <li> Vibrant dynamic &amp; international workplace </li> <li> Periodic fun &amp; engaging company events &amp; team activities </li> <li> Tasty Thursdays </li> <li> Birthday Leave </li> <li> Work Anniversar(ies) Leave </li> <li> Opportunity to be a value-adding contributor to this fast-growing global company</li></ul></div>
HR Executive| Human Resource Division,Ministry of Law,Singapore| Singapore,5 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/hr-executive-human-resource-division-at-ministry-of-law-2221089741?refId=49053616-fcdb-4e1c-8101-fa075f95d4b4&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Background<br/><br/></u></strong>The Human Resource Division (HRD) in the Ministry of Law oversees and manages the Ministry’s HR functions in the areas of Manpower Planning Attraction Learning Development Performance Management and Talent Management. The Division is also responsible for Rewards Management Employees’ Well-Being. Officers can look forward to job rotation opportunities across the different functional areas based on competencies and area of interest.<br/><br/><strong><u>1) Awards<br/><br/></u></strong><strong><u>Responsibilities<br/><br/></u></strong>You will be part of the Human Resource Division and is responsible for the administration of Awards. Your area of responsibilities will include but not limited to the following:<br/><ul> <li>Process Minlaw Staff Awards nominations</li> <li>Ensure timely implementation of the Staff Awards and Recognition initiatives</li> <li>Able to apply guidelines within a given context when administering staff benefits</li> <li>Conduct periodic reviews to enhance the efficiency and rigour of the processes and work streams</li> <li>Responsible for maintaining the archives as well as collection of data to support various management reports</li> <li>Organise various staff recognition events and ceremonies</li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li>Have 2-3 years of relevant working experience in administering Staff Awards</li> <li>IT savvy and familiar with Microsoft office programmes like Excel and power point </li> <li>Good verbal and written communication skills</li> <li>Strong interpersonal skills to engage officers across all levels in the organisation</li> <li>Ability to work independently and also a team player</li> <li>Past working experience in the public sector is an added advantage</li></ul></div>
