Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Operations Associate,Zilingo,Singapore| Singapore,3 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/operations-associate-at-zilingo-2221567741?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>About Zilingo<br/><br/></u></strong>Since being founded in 2015 by former McKinsey consultant Ankiti Bose and ex-Yahoo engineer Dhruv Kapoor Zilingo has advanced from being a purely online marketplace to an all-encompassing ecosystem that unlocks value across the supply chain.<br/><br/>Our businesses include B2C &amp; B2B Marketplace Private Label as a Service E-POS &amp; Inventory Management Trend Forecasting and Fintech. Each business complements the other creating compounding benefits for the platform.<br/><br/>We've grown exponentially on the back of the platform strategy making us one of the most successful and fastest growing startups in all of Asia. Headquartered in Singapore we have offices in Thailand Indonesia Philippines Hong Kong and India.<br/><br/>We're actively looking to hire the world's best talent to join us. If you have the passion and ambition let's build the next big thing together!<br/><br/><strong>THE ROLE<br/><br/></strong>Having hundred brands coming from all over the world requires a strong logistic team to support activity in all Zilingo countries. Driven individuals with a very detail oriented attitude and excellent communication capabilities will be able to find their place here. The international and fast paced environment provides numerous stimuli and various opportunities to grow and develop with visible and direct impact on the performance and direction of the company.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><li>Coordination of cross-border freight movement between factories suppliers buyers and logistics providers.</li><li>Preparation and checking of shipping documents required for international and domestic movements of B2B goods.</li><li>Monitoring of shipping activities to ensure goods reach by the stipulated date.</li><li>Daily handling of relationships with service providers and suppliers ensuring that the supply chain runs smoothly.</li><li>Management of Singapore's B2C market operations ensuring that service level agreements are achieved.</li><li>Tracking of orders with service providers to ensure that orders are fulfilled in a timely manner.</li><li>Analyse data collected to look for areas of operational improvements such as reducing lead times or higher costs efficiency.<br/></li></ul>Must haves for this position:<br/><ul><li>Preference for someone to have at least 1-year experience in a related field (ecommerce / logistics).</li><li>Experience in MS Office.</li><li>Possess positive work attitude good time management and able to multi-task.</li><li>Demonstrate integrity dependability responsibility and team player.</li><li>Able to work in a fast-changing environment and to make decisions required to resolve the situation at hand.</li><li>Good management of multiple projects and responsibilities with the ability to prioritise.<br/></li></ul></div>
Specialist Operations Support,Hasbro,Singapore| Singapore,7 days ago,30 applicants,https://sg.linkedin.com/jobs/view/specialist-operations-support-at-hasbro-2221032747?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">The Operations Specialist will work with the demand planner to ensure that we have the right inventory available at the right time in the right place and at the right price. This is primarily done through a variety of operations planning duties – initial print run coordination spec changes forecasting product line analysis and initiation of reprints as needed. They will work closely with internal and external customers and teams to make sure that we can meet our sales goals effectively. This role also administers several different systems and processes to support the broader sales finance and logistics teams in achieving Wizards’ goals. This role must be a relentless problem solver process orientated and demonstrate forward thinking when it comes to providing recommendations.<br/><br/><strong><u>What You'll Do<br/></u></strong><ul> <li> Coordinate the regional product planning process ensuring effective accurate forecasting. </li> <li> Track and optimize WotC inventories in all APAC warehouses maintaining correct levels to meet sales demand and mitigate potential obsolescence. </li> <li> Manage the process of setting up products for forecasting. </li> <li> Oversee the shipping of products from production centers to APAC warehouses. </li> <li> Review and propose improvement to APAC demand planning and supply chain processes. </li> <li> Address demand planning related issues in a timely and effective manner. </li> <br/><br/></ul><strong><u>What You'll Bring<br/></u></strong><ul> <li> 2+ Years of Sales Supply Chain or Logistics Experience </li> <li> Experience with SAP John Galt or other Enterprise Level Sales &amp; Inventory systems </li> <br/><br/></ul><strong><u>Knowledge Abilities And Characteristics<br/></u></strong><ul> <li> This individual should be technically minded and love digging into systems </li> <li> They should be process minded – comfortable following a process and looking for improvements in that process </li> <li> Forward thinking – Identifying potential problems before they’re a critical issue is important here </li> <li> Clear proactive communication is a must. We need to hear about the problem before it’s a critical issue </li> <li> Able to work with a very diverse group of people in different time zones countries and cultures. </li> <br/><br/></ul><strong><u>Education And Training<br/></u></strong><ul> <li> Four-year degree in business administration sales management finance or similar field or equivalent work experience required. </li> <li> Proficient with Excel</li></ul></div>
Operations Coordinator - Singapore,Quandoo,Singapore| Singapore,1 day ago,30 applicants,https://sg.linkedin.com/jobs/view/operations-coordinator-singapore-at-quandoo-2199889650?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><ul><li>Based in Tanjong Pagar</li><li>Must be able to work full time Monday – Friday 9am-6pm</li><li>Competitive Salary</li><li><strong>Fluent in English and Mandarin is a must for this role</strong></li><li>Fluent in Japanese a major plus but not essential</li><li>Office based role</li><li>Must be located in Singapore and able to legally work full time in Singapore</li></ul><p>We are seeking a passionate driven and proactive<em> </em>individual<strong><em> </em></strong>to provide assistance to the Operations team. This is a challenging role where you will be part of a dynamic team in supporting the Operations Asia Pacific team.<br/><br/></p><p><strong>Duties and functions <br/><br/></strong></p><ul><li>Remote onboarding of new restaurant partners to the Quandoo System</li><li>Provide restaurant partners with remote technical support and training</li><li>Remote customer service - inbound and outbound for restaurant partners and consumers using the platform</li><li>Full responsibility and realization of your KPIs (quantitative and qualitative goals).</li></ul><p><strong>Day to day activities<br/><br/></strong></p><ul><li>Adherence to and achieving outputs in line with daily / weekly / monthly activity requirements targets deadlines &amp; escalations</li><li>Office based consumer and restaurant partner support.</li><li>Daily inbound &amp; outbound calls emails &amp; salesforce case management</li><li>Uploads to the Quandoo Portal for restaurant partners</li></ul><p><strong><strong><strong>Requirements:<br/><br/></strong></strong></strong></p><ul><li>Similar operations experience essential</li><li>Some experience in the hospitality industry preferred but not essential</li><li>Outstanding communication skills </li><li><strong>Good spoken and written English and Mandarin is essential </strong></li><li>Fluent in Japanese a major plus but not essential</li><li>Be efficient assertive and have quick decision-making capability</li><li>Ability to prioritise tasks and able to multi-task</li><li>Able to work in a fast pace environment</li><li>A demonstrated empathy when communicating with restaurant partners and consumers</li><li>Self-disciplined to work independently and as a team  </li><li>Good MS Office &amp; Desktop IT skills</li><li>Experience with Google Suite and Drive is an advantage</li></ul><p><strong><strong>What we offer:<br/><br/></strong></strong></p><ul><li>Dynamic and friendly working atmosphere within a successful international team</li><li>Chance to take on responsibility and develop your skill set</li><li>Support and training by experienced executives. </li><li>Laptop and mobile phone provided.</li></ul><p>​​​​​<strong>Note: </strong> Only applicants who are short-listed will be contacted. Candidate must attach a resume to be considered.<br/><br/></p></div>
OPERATIONS MANAGER,Devcon Ltd,Singapore| Singapore,2 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/operations-manager-at-devcon-ltd-2225284742?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><li>ENSURE SMOOTH PROGRESS OF ALL ONGOING PROJECTS IN A MAJOR LOCAL SHIPYARD</li><li>CONDUCT ONBOARD INSPECTION OF WORK DONE ACROSS ALL LOCATIONS INCLUDING TANKS TO ENSURE GOOD QUALITY OF WORK</li><li>FORECAST &amp; PLAN THE MANPOWER REQUIREMENT TO AVOID MANHOURS WASTAGE</li><li>RESOLVE ANY WORKER RELATED ISSUES</li><li>MONITOR &amp; CONTROL THE BUDGET FOR ALL PROJECTS</li><li>PARTICIPATE IN QUOTATION NEGOTIATION OF NEW PROJECTS AND SETTLEMENT PROCESS AFTER PROJECT COMPLETION</li><li>ATTEND TO OTHER AD HOC DUTIES AS AND WHEN REQUIRED BY MANAGEMENT</li></div>
Head of Operations,Hugo,Singapore| Singapore,1 month ago,36 applicants,https://sg.linkedin.com/jobs/view/head-of-operations-at-hugo-2183009869?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Hugo believes happy prosperous communities are built on healthy financial foundations.<br/><br/>That’s why at Hugo we’re on a mission to make Saving Second Nature.<br/><br/>Through our product vision of Better Budgeting Smarter Spending and Sustainable Saving together we can build a financially healthy and thriving community.<br/><br/>Hugo is a digital banking application and debit card that puts saving first. Our initial market will be Singapore but regional and global expansion will follow swiftly.<br/><br/>Hugo is a brand owned and operated by Atlas Consolidated Pte Ltd.<br/><br/>Who we are looking for and why<br/><br/>We are looking for an experienced Head of Operations to lead the Operations Team and work alongside the Executive Management Team.<br/><br/>We need to define build and implement our operations strategy architecture.<br/><br/>What a “Head of Operations” means to us<br/><br/>Someone who designs and implements comprehensive operations strategies ensuring compliance with local and international regulations oversees operational frameworks like treasury payments both card and banking customer service technology service delivery and drives live operations for the company’s business activities.<br/><br/>The Company depends on the Head of Operations to drive the operations strategy and provide leadership to the operations team including in card payments bank payment processing and reconciliation and excellence in customer service and care.<br/><br/><strong><u>Requirements<br/><br/></u></strong>How you can help us<br/><br/>There are certain functions and capabilities we believe are essential to the role<br/><ul> <li>Proven experience and success across the various disciplines of operations specifically in debit (and credit) card payments domestic banking and SWIFT payments - ideally within B2C e-wallet FX and payment services sector;</li> <li>Ability to develop our Operations and Treasury strategy in alignment with strategic business objectives - being hands on with building and optimising processes;</li> <li>Responsibility for building training and developing a team which can scale across SE Asia using cross functional training;</li> <li>Responsibility for implementation of robust internal controls to ensure risk management in the day-to-day running of the Treasury and Operation team which mitigates errors through fostering a dialogue of ‘openness honesty and transparency’;</li> <li>Treasury Management - including debit cards cash FX and physical gold of customer and operational accounts ensuring timely payment processing confirmation and reconciliation;</li> <li>Debit Card Issuing program and operational management - working with card networks eg VISA Mastercard China Union Pay etc to ensure operational adherence on network rules and guidelines complete with knowledge of card settlement processes - fees refunds and charge-backs;</li> <li>Work closely with the finance controller to ensure operational third party payments and aggregated customer accounts net balance to zero each day and meet the regulatory reporting schedules of the relevant regulatory bodies by country notably on meeting strict capital buffer requirements for the customer balances;</li> <li>Previous experience with creating operational flows suggesting product improvements and working on onboarding flows to provide seamless customer experience;</li> <li>Work with the Compliance Product and Technology teams to implement automated solutions for primarily for operations compliance customer onboarding and support;</li> <li>Play a lead role in maintenance of quality assurance processes and implement streamlined processes for customers;</li> <li>Develop and manage vendor relationships their contracts and negotiate commercial terms;</li> <li>Experience working with an ASEAN based product market;</li> <li>Combining market research with a data driven analytical approach to drive the strategy understand the value proposition set goals and demonstrate ROI;</li> <li>Creating competitor and market analysis staying ahead of trends and competitor positioning;</li> <li>Working with the Management Team to set budgets;</li> <li>Working closely with Product Data Customer Support and Management in delivering a better experience for Hugo customers;</li> <li>Create a solid network of strategic partnerships;</li> <li>Propagating our purpose mission vision and values.</li> <br/><br/></ul>What we would consider as added value<br/><br/>Skills and capabilities we believe are highly relevant include<br/><ul> <li>8+ years of proven experience in a lead/senior operations role;</li> <li>Bachelors/Masters degree or equivalent in a relevant subject area;</li> <li>Multidisciplinary experience within multiple operational roles in financial services or fintech;</li> <li>Potential experience with Card networks on acquiring side;</li> <li>Experience with consumer asset management operations equity bonds and FX;</li> <li>Strong knowledge of South East Asian markets (particularly Singapore);</li> <li>Passionate about joining an early stage Fintech;</li> <li>Ability to identify build and enhance key relationships influence and challenge as required;</li> <li>Superior time management and very organized with excellent interpersonal and presentation skills;</li> <li>Fluent English speaker and writer ideally with local language skills – Indonesian Mandarin.</li> <br/><br/></ul>Performance indicators to get you off to a great start<br/><br/>A touch down quick win (30 Days)<br/><ul> <li>Develop an Operations strategy robust for scaling over the first 24 months;</li> <li>Develop Operational Risk Management (ORM) procedures and guideline documentation for team reflecting risk and compliance policies in place for soft launch including preliminary operational continuity business plans;</li> <li>Check account integrity and implement Treasury management processes and reporting.</li> <br/></ul>Found your feet (90 Days)<br/><ul> <li>Further develop ORM procedures and standards from first 30 days to incorporate a cultural awareness of operational compliance and business risk;</li> <li>Develop robust business continuity plan to be updated based on growth of company and annually;</li> <li>Set budget for expansion in conjunction with executive team.</li> <br/></ul>Well into your stride (180 Days)<br/><ul> <li>Continue to develop ORM strategies and implementation including cross functional training of your growing team;</li> <li>Improve and develop Operational Technology systems to improve operational efficiencies - automation and cost benefits.</li> <br/><br/></ul><strong><u>Benefits<br/><br/></u></strong>Can accommodate flexi-working schedules<br/><br/>Hugo Values being Responsible Open and Collaborative<br/><br/>We are responsible to our customers community and team to help shape a more open collaborative approach to money. This is the way Hugo hopes to make a difference and help us build better communities.<br/><br/>Shared responsibility is not only part of our approach to money but a key part of how we work together. This shared responsibility allows for openness and candour between us as a team and in our relationship with our customers.<br/><br/>Good ideas can come from anywhere so an open and collaborative dialogue between the Hugo community (customers the team the stakeholders alike) helps get the best from us all and helps make the difference.<br/><br/>Everyone is welcome to apply</div>
Business Development - Singapore| Business Operations Team Assistant,Shopee,Singapore| Singapore,4 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/business-development-singapore-business-operations-team-assistant-at-shopee-2228581413?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><br/><strong>Job Description:<br/><br/></strong><ul> <li>Support seller operations team in regular reporting and other day to day work</li> <li>Responsible to prepare and send out regular reports to sellers and internal stakeholders</li> <li>Report irregularity in trends to supervisors</li> <li>Assist in organizing seller visits preparation of seller visits materials and documentation of discussion points</li> <li>Preparation of seller focus group discussion</li> <li>Manage new sellers on-boarding discussion chat</li> <br/></ul><strong>Requirements:<br/><br/></strong><ul> <li>Enjoys working in a fast-paced and collaborative environment</li> <li>Proficient in excel and powerpoint</li> <li>Attention to details</li> <li>Quick learner</li></ul></div>
Operations Expert,Apple,Singapore| Singapore,2 days ago,52 applicants,https://sg.linkedin.com/jobs/view/operations-expert-at-apple-2200122206?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><br/><strong>Summary<br/></strong> <br/>As an Operations Expert you know better than anyone else the satisfaction of getting the latest Apple product into your hands. So it’s up to you to make sure customers are just as satisfied. By guiding and mentoring your team you help keep pace with changing demands and make sure every product and demo machine is where it should be. At the end of the day it’s your organisational skills and dedication that are at the heart of what the Apple Store does — connecting people to the products they love.<br/><br/> <br/><strong>Key Qualifications<br/></strong> <br/>Ability to think quickly and perform problem-solving tasks even within changing conditions.<br/><br/>Leadership skills whether guiding by example or coaching a group.<br/><br/>Strong organisational skills quickly evaluating every situation.<br/><br/> <br/><strong>Description<br/></strong> <br/>As an Operations Expert you and your team have the incredible responsibility of ensuring products take the final step in the supply chain: getting into customers’ hands. You’re in charge of the store’s entire inventory — products parts tools supplies and everything else. You make sure your team has the support knowledge and resources required to maintain product availability complete inventory tasks and keep the stockroom organised as new products arrive. You’re in constant contact with the management and leadership teams sharing data about the status of products and parts. And when exciting new products arrive you’re the first to open them up and present them to the entire store team. Apple makes the products but you make it happen by being ready to place our products in customers’ hands.<br/><br/> <br/><strong>Additional Requirements<br/></strong> <br/>•You can manage and meet multiple inventory deadlines each week.<br/><br/>•You’re willing to observe guidelines to allow secure access to products and movement through the stockroom.<br/><br/>•You’ll need to be flexible with your schedule. Your work hours will be based on business needs.<br/><br/></div>
Operations Specialist,Procter & Gamble,Singapore| Singapore,4 days ago,55 applicants,https://sg.linkedin.com/jobs/view/operations-specialist-at-procter-gamble-2218635016?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Description<br/><br/></u></strong><strong>Description<br/><br/></strong>Are you ready to gain new skills to help run and maintain the latest production technology and equipment for the world’s biggest brands? We’re looking for teammates who know how to take charge of business-related challenges and keep us running efficiently.<br/><br/>Working behind the scenes in our manufacturing plants Plant Technicians are vital to the success of our business at P&amp;G. We do various types of work including running high-speed converting and packing equipment controlling the process from a computer terminal and performing preventive maintenance on equipment.<br/><br/>We hire you at entry level and you advance by demonstrating growing levels of operating maintenance and leadership skills. We also provide you with the opportunity to expand into electrical quality assurance safety and hygiene and other areas of expertise.<br/><br/><strong>Your Team<br/><br/></strong>As a technician you will work with a team that is responsible for keeping production flowing meeting performance goals and maintaining the high level of quality that consumers expect from our products<br/><br/><strong><u>Key Responsibilities<br/></u></strong><ul><li>Execute the batch making and packing process according to production plan for the day</li><li>Execute the job assignment allocated by the team leader</li><li>Upkeep the safety and quality standard in the plant</li><li>Own the relevant Standard Operating Procedures (SOP) for systems / equipment</li><li>Contribute actively to the plant's efforts in eliminating losses at work and learn-do-teach culture</li><li>Own the cleaning and 5Ss of the assigned area for the day<br/></li></ul><strong><u>Qualifications<br/></u></strong><ul><li>Good analytical and problem solving skills</li><li>Good collaboration to work with people from diverse backgrounds</li><li>Strong communication skills in English verbally and in writing</li><li>Willing to work on rotating shifts and based in Tuas</li><li>Minimum qualification: Diploma in Engineering</li><li>Highest qualification: Degree in Engineering</li><li>Medically and physically fit to operate in a manufacturing environment<br/></li></ul><strong><u>About Us<br/><br/></u></strong>We produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours it is paramount our leaders are able to lead with courage the vast array of brands categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted quality leadership brands including Always® Ariel® Gillette® Head &amp; Shoulders® Herbal Essences® Oral-B® Pampers® Pantene® Tampax® and more. Our community includes operations in approximately 70 countries worldwide.<br/><br/>Visit http://www.pg.com to know more.<br/><br/>Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being “in touch” so we craft brands and products to improve the lives of the world’s consumers now and in the future. We want you to inspire us with your unrivaled ideas.<br/><br/>We are committed to providing equal opportunities in employment. We do not discriminate against individuals on the basis of race color gender age national origin religion sexual orientation gender identity or expression marital status citizenship disability veteran status HIV/AIDS status or any other legally protected factor.</div>
Product Strategy and Operations Associate| Apps| Go-to-Market Operations,Google,Singapore| Singapore,nil,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/product-strategy-and-operations-associate-apps-go-to-market-operations-at-google-2205274608?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place we're currently unable to extend offers to anyone who cannot work from Singapore due to lockdown visa/travel restrictions or other restrictive measures until further notice. Consequently we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.<br/><br/><strong><u>Minimum Qualifications<br/></u></strong><ul> <li>Bachelor's degree or equivalent practical experience.</li> <li>Experience in Sales Operations/Strategy Marketing Strategy or Strategy consulting.</li> <br/><br/></ul><strong><u>Preferred Qualifications<br/></u></strong><ul> <li>Experience in stakeholder management influencing and project management (including execution delegating and working across various functions to connect teams around common goals).</li> <li>Basic knowledge of SQL/Database statistics business modeling and quantitative analysis.</li> <li>Demonstrated ability to lead complex operational and strategic initiatives operating with little guidance.</li> <li>Ability to translate data and trends into strategy with compelling messaging and to guide decision-making for the team and leadership.</li> <br/><br/></ul><strong><u>About The Job<br/><br/></u></strong>Go-To-Market (GTM) Performance encompasses some of Google’s important advertising and measurement products including Search Shopping Apps the Google Marketing Platform suite and Ads Data Hub. The Strategy and Scale team partners with leaders product leads and cross-functional partners to execute strategic projects set operational rigor guide product priorities and ensure seamless product deployment and activation. As a Product Strategy and Operations Associate you will lead strategy projects and operating processes for Apps and Mobile business. You will help drive excellent organizational performance across the product team and act as a bridge among different cross-functional teams.<br/><br/>In this role you’ll focus on building competitive strategies identifying opportunities to accelerate and diversify the business and create compelling narratives that help influence our global product roadmap and regional go-to-market strategy on an ongoing basis.<br/><br/>The Go-to-Market Operations (GtM) team ensures Google's complex and ever-evolving Ads business runs smoothly. We are instrumental in setting go-to-market strategy and ensuring flawless execution and operations against the strategy. We have teams embedded in each of the major Ads business areas as well as global teams that work across the business areas. Team members are analytical and strategic with a pragmatic sense of how to get things done.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul> <li>Support and own elements of core planning processes including annual planning product prioritization global business updates and executive reviews as it relates to Apps.</li> <li>Conduct analysis and/or lead cross-functional teams to develop recommendations on future-looking initiatives. Align stakeholders and drive through to implementation ensuring insightful learning from the initiatives.</li> <li>Serve as a thought partner for the Head of Apps and Mobile and as a thought partner to the leads on product strategy and execution.</li> <li>Support the team in the development of a ‘one APAC voice’ on product priorities based on client and specialist feedback to positively influence global product strategy.</li> <br/></ul>Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation please let us know by completing this form .</div>
Operations Manager,Tech Mahindra,Singapore| Singapore,1 week ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/operations-manager-at-tech-mahindra-2206109988?refId=e9b03659-4d84-4bf6-b0bf-b80b0a43a961&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>Looking for Operation Manager :</strong></p><p><strong>﻿</strong></p><p><strong>Key Responsibilities : </strong>1 This position is a key leadership role and will require experience in client management including participation governance review meetings good communication complex problem management consultative building and managing high performance teams</p><p>2 Manage Daily Operations - Analyze service performance data Analytical skills and drive initiatives aimed at performance improvement</p><p>3 Proactive Delivery Management - Suggestions on Improvement Plans;</p><p><br/></p><p><strong>Technical Experience : </strong>1 Proven experience in ETL delivery including Experience in Project governance Crisis and Escalation management </p><p>2 End to end management of IO delivery for a global client including onshore and offshore teams </p><p>3 Financial Management should have experience of managing project financials including cost take out initiatives </p><p>4 Good Understanding of Automation Analytics ETL and BI Tools and Quality processes </p><p>5 Complex Problem Solving skills Look at areas that impact availability</p><p><br/></p><p><strong>Professional Attributes : </strong>1 Understanding of quality processes and standards such as ISO 20000/BS25999/ITIL</p><p>2 Strong Communication skills and ability to confidently communicate a point of view</p><p>3 Good knowledge of ITIL delivery processes such as Incident problem Change availability capacity etc</p></div>
