Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Software Engineer,TAIGER,Singapore| Singapore,3 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/software-engineer-at-taiger-2221608074?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>About Taiger<br/><br/></u></strong>Headquartered in Singapore TAIGER is a fast-growing Artificial Intelligence (AI) company with a global footprint. Our mission is to help organizations optimize operational efficiencies by automating complex cognitive tasks. We are a market leader and the pioneer of Knowledge Work AutomationTM. The solutions we provide use natural language processing (NLP) and computer vision techniques (e.g. semantic analysis concept-extraction multi-language knowledge graphs and object detection) to provide unparalleled accuracy in information extraction for industry leaders across the financial services government sectors and more. TAIGER is recognized as a Gartner Cool Vendor. Find out more about us at www.taiger.com and www.linkedin.com/company/taiger<br/><br/><strong>SOFTWARE ENGINEER<br/><br/></strong>We are looking for an experienced leader that is passionate about the potential of TAIGER. You should be genuinely excited by the prospect of building new functions and leading a passionate team of high performers as TAIGER expands in scale; and be motivated by the proposition of your contributions having a real impact on TAIGER's growth.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul> <li>Develop algorithms data models and build products and solutions based on state-of-the-art AI technology.</li> <li>Create innovative marketable products using research in fields of NLP Semantics and Machine Learning.</li> <li>Design architecture and behaviour of software modules and use industry Agile standards to perform analysis estimation implementation testing and deployment of applications.</li> <li>Ensure technical quality through best practices like TDD Code Review CI.</li> <li>Bring ideas to the table to improve TAIGER's technology and product. Work and be involved in key decisions in Engineering Product and Delivery teams.</li> <li>Take leadership in driving projects or product features while working in autonomous cross-functional squads taking ownership of development activities and knowledge sharing. Mentor and guide junior developers and provide technical expertise.</li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li>MSc/BSc in computer science engineering or related technical discipline or equivalent.</li> <li>At least 3 to 5+ years of experience in software development with team management experience.</li> <li>Strong experience in Java EE Spring Object Orientation and Design Patterns.</li> <li>Solid knowledge in databases like MySQL Oracle SQL Server architecture patterns like MVC ETL SOA Microservices and software best practices like TDD CI.</li> <li>Familiarity with Agile or XP methodologies.</li> <li>Excellent written and oral communication skills in English with ability to effectively communicate with teams and clients.</li> <br/><br/></ul><strong><u>You Will Be At An Advantage With These Skills<br/></u></strong><ul> <li>Understanding in front-end development like JavaScript HTML CSS.</li> <li>Good understanding of security performance scalability aspects</li> <li>Working knowledge on software lifecycle management code organization and experience as a tech lead or project manager.</li> <li>Proactivity in suggesting solutions and improvements.</li> <li>Familiarity or interest in AI Semantic Technologies NLP and Search Engines.</li> <br/></ul>In TAIGER we believe that diversity of experience perspectives and background will result in a better workplace for our team and a better product for our clients. Join the growing team at TAIGER today!</div>
Software Engineer| Backend,Grab,Singapore| Singapore,3 weeks ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/software-engineer-backend-at-grab-2159728747?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Job Description:<br/><br/><strong><strong>Get to know our Company:<br/><br/></strong></strong>When you're an engineer at Grab you are part of the heart and soul of the company. Our passion is anchored in the work that we do and this is reflected in the impact we make on millions of lives on a daily basis. Our team is empowered by creating amazing services and tools that serve millions of passengers driving partners and fellow grabbers.<br/><br/><strong><strong>Get to know the Team:<br/><br/></strong></strong>GrabAds allows Advertisers Agencies and Merchants to engage the Grab Audience via innovative online advertising experiences. Through our unique ecosystem and transacting user base our clients are able to reach their desired audiences at scale while driving measurable business outcomes.<br/><br/>We would want to invite talented and passionate engineers to join our journey to create value for our users drivers merchants and advertising partners while continuing to make everyday lives better across Southeast Asia.<br/><br/>As part of the Ads Billing &amp; Reporting team you will have opportunities to work on multiple backend service clusters which deal with business critical functions such as billing and auto settlement of our Advertisers. You will also get to work on real time systems and data pipelines which are implemented in Scala and run using Spark. It is very important that our team members take initiatives to identify problems and have the right mindset and skill sets to solve them.<br/><br/><strong><strong>The day-to-day activities:<br/><br/></strong></strong><ul><li> Design and write with the cutting edge GO language to improve the availability scalability latency and efficiency of Grab's range of services </li><li> Design and write data pipelines implemented using Scala. </li><li> Work with engineering team to explore and create new design / architectures geared towards scale and performance </li><li> Participate in code and design reviews to maintain our high development standards </li><li> Engage in service capacity and demand planning software performance analysis tuning and optimization </li><li> Collaborate with product and experience teams to define and prototype feature specifications </li><li> Work closely with infrastructure team in building and scaling back-end services as well as performing root cause analysis investigations </li><li> Design build analyze and fix large-scale systems </li><li> Debug and modify complex production software <br/></li></ul><strong><strong>The must haves:<br/><br/></strong></strong><ul><li> A degree in Computer Science Software Engineering Information Technology or related fields </li><li> Strong Computer Science fundamentals in algorithms and data structures </li><li> Familiarity with running large scale web services; understanding of systems internals and networking are a plus </li><li> Strong understanding of system performance and scaling </li><li> Possess excellent communication sharp analytical abilities with proven design skills able to think critically of the current system in terms of growth and stability </li><li> You can be a good coder in any language (C++ C Java Scala Rust Haskell OCaml Erlang Python Ruby PHP Node.JS C# etc.) but willing to work on Golang <br/></li></ul><strong><strong>Tech Stack<br/><br/></strong></strong>Our core services tech stack consists of Golang with Redis MySQL DynamoDB Elasticsearch data stores as well as HAProxy load balancers. They all run on the AWS cloud infrastructure with auto-scaling abilities. For data processing we use Apache Spark. Our mobile app platform coverage includes native iOS and Android written in Swift and RxJava. Our Command Center front-end is built on Rails HTML5 CSS and Javascript. We use GitHub for our code repository and we adhere to the basic Continuous Delivery tenets utilising a host of tools to support our release pipeline and code quality. These include Travis CI New Relic PullReview Code Climate Papertrail Gemnasium JFrog and Jenkins.</div>
Software Developer,Ascenz,Singapore| Singapore,3 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/software-developer-at-ascenz-2212047359?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Ascenz is Asia's leading provider of vessel performance solutions. The decision support systems provide transparency for operational efficiency asset management and regulatory compliance. We deliver solutions for the Maritime Sector for Charterers Ship owners or Ship operators to be used either on-board the vessels or offshore.<br/><br/>The Shipulse solutions suite delivers comprehensive data and insightful information allowing better decision makings for increased fuel savings and optimized vessel performance. Ascenz’s mission is to deliver transparency using decision support systems for regulatory compliance operational efficiency and risk management. We are about to completely redesign and integrate all our Product Line.<br/><br/>Our development department is looking for a Software Developer reporting to the regional CTO in Singapore who cares and thinks as much about enabling a great end-to-end customer experience as they do about technology.<br/><br/><strong><u>Job Responsibilities<br/></u></strong><ul> <li>Designing building and deploying our products (both onboard and online)</li> <li>Integrating our existing products into a new platform</li> <li>Maintaining our existing products before integration</li> <li>Work in a cross-functional mission team with project engineers designers and analysts</li> <li>Continuously improve our code base systems and processes</li> <li>Design and develop efficient solutions that can continue to scale</li> <li>Mentor other team members</li> <li>Be responsible for maintaining high-quality of code and keeping up with the project timeline</li> <li>Take part in SCRUM meetings</li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li>Candidate must possess at least a bachelor’s degree in Computer Science/Information Technology Engineering (Computer/Telecommunication) or equivalent</li> <li>At least 5 years of software development experience</li> <li>Highly proficient in C# and .NET framework</li> <li>Highly proficient in desktop (rich client) applications as well as JavaScript HTML CSS and modern web standards like MVC and API</li> <li>Highly Proficient in database design and development</li> <li>Regular practice of Agile Sprints and regular practice of a DevOps tool like Jira or Azure DevOps</li> <li>Ability to turn ideas into fast reliable and maintainable code</li> <li>Experience in Cloud like Azure or AWS as well as Python is a plus</li> <li>Positive proactive team player who is passionate about their craft</li> <li>Customer-centric prioritization and data-driven decision making</li> <li>Excellent written and verbal communication skills in English</li></ul></div>
Software Developer,IoTalents,Singapore| Singapore,4 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/software-developer-at-iotalents-2202444902?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Job Responsibilities<br/></u></strong><ul> <li>Responsible for converting FSD into technical design and development</li> <li>Work with BA to define system flowchart and come up with technical design</li> <li>Ensure that all technical documentation processes and methodologies used in the various phases of system development and implementation are in accordance with the Bank’s standards.</li> <li>Perform functional unit test and provide UAT support</li> <li>Propose enhancement of applications for better performance and user experience</li> <li>Contribute and propose technical solution to issues resolution</li> <br/><br/></ul><strong><u>Job Requirements<br/></u></strong><ul> <li>Min 5-6 years’ experience in Microsoft platform .Net programming and SQL DB mandatory</li> <li>Excellent communication presentation and technical writing skills</li></ul></div>
JUNIOR SOFTWARE ENGINEER,Blackmagic Design,Singapore| Singapore,1 week ago,71 applicants,https://sg.linkedin.com/jobs/view/junior-software-engineer-at-blackmagic-design-2212050287?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Job Description<br/></u></strong><ul> <li>To develop specify and architect software applications drivers and software technology for all Blackmagic Design products as directed by management.</li> <li>To accurately document all development work both within the developed software and in detail on the companies software management platform</li> <li>Learn about the DaVinci Resolve application and understand its features</li> <li>Adapt to the existing code base and be able to own and work on new or existing components</li> <li>Identify bottlenecks in the system and improve performance</li> <li>Debug and fix issues with complex multi-threaded implementations</li> <li>All other duties as directed by management from time to time</li> <br/></ul><u><em><strong>JOB REQUIREMENT<br/></strong></em></u><ul> <li>Degree/Diploma in Computer Engineering</li> <li>Strong analytical and programming skills</li> <li>Less than 3 years work experience</li> <li>Fresh Graduates are welcome to apply</li> <li>On the job training will be provided</li> <li>Good communication and interpersonal skills</li></ul></div>
Software Engineer,ShopBack,Singapore| Singapore,4 days ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/software-engineer-at-shopback-2221567390?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong>About Us <br/><br/></strong>Build the Smarter Way to Shop!<br/><br/>ShopBack the #1 rewards and discovery platform in Asia-Pacific enables shoppers across the region to shop ‘The Smarter Way”. It is a one-stop rewards and discovery platform for users to earn cashback while delivering performance-based marketing to merchants. First launched in Singapore in 2014 ShopBack has since expanded its reach to Malaysia Indonesia the Philippines Thailand Taiwan Australia and more recently Vietnam and Korea. In Singapore the company has also extended its service offering with ShopBack GO an app-based rewards platform for in-store shopping dining and entertainment. We are a passionate team that wants to drive innovation and build a product that we love and are all proud of!<br/><br/>ShopBack partners with over 3000 merchants including Taobao Expedia Shopee ZALORA to reward its users with cashback across a wide range of categories including general merchandise travel bookings fashion health and beauty groceries and food delivery. To date US$100m in cashback has been awarded to our over 20 million users.<br/><br/>We have global ambitions and are up against international incumbents in a rapidly emerging field! We are expanding our existing team and are looking for passionate talent across APAC to be part of this exciting journey. If you are inspired to take up new challenges and leave a mark on the e-commerce landscape then come and be part of our growing ShopBack Family!<br/><br/>At this time we are only able to consider candidates located ONLY in Singapore. However we’d hope you continue to keep us in mind for other potential opportunities in the future.<br/><br/><strong> About The Role <br/><br/></strong>At ShopBack our engineering teams build scalable platforms and utilize leading-edge technologies to build a world-class product. You will join a diverse and talented team of aspiring engineers with great ambitions to impact the eCommerce landscape. We are seeking team members who strive to solve the hard problems take pride in delivering world-class products and are strong team players.<br/><br/>You are someone who wants to see the impact of your work making a difference every day. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems.<br/><br/><strong> What You'll Do <br/></strong><ul><li>Design develop implement and maintain new and existing web applications and APIs.</li><li>Contribute to the ideation technical design implementation and testing of product features</li><li>Work with product team to understand business requirements and build great products that impacts consumer purchasing behaviour</li><li>Follow industry trends and maintain a strong interest in cutting edge technology</li></ul>What we're looking for:<br/><ul><li>3+ years of relevant work experience</li><li>Hands-on experience working with <strong>NodeJS</strong> (Preferred)</li><li>Good knowledge on data structure and algorithms and an ability to use them practically when implementing solutions</li><li>Experience working with public cloud services (AWS GCP Azure Heroku etc)</li><li>Experience with different database technologies. Relational (PostgreSQL MySQL...) NoSQL(MongoDB Cassandra DynamoDB...) Graph (Neo4j...)</li><li>Extensive REST API development experience</li><li>Strong analytical problem-solving communication and decision-making skills</li><li>Excellent communication ability and desire to thrive in a high-growth startup environment</li></ul></div>
Software Developer| Back-End,Tencent America,Singapore| Singapore,6 days ago,36 applicants,https://sg.linkedin.com/jobs/view/software-developer-back-end-at-tencent-america-2218693834?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Job Responsibilities:<br/><br/><li> Design and develop back-end architecture optimize and operate Tencent's products and services.</li><li> Provide solutions to network access business logic data storage data mining etc.</li><li> Build a stable secure top-quality and reliable back-end support system for our users.<br/><br/></li>Job Requirements:<br/><br/><li> Excellent algorithmic design and development skills; proficient in C C++ Java or other languages; basic knowledge of algorithms and data structures.</li><li> Familiarity with TCP/UDP network protocol and inter-process communication programming.</li><li> Knowledge of scripting languages like Python Shell or Perl.</li><li> Knowledge of MYSQL and SQL NoSQL and key-value storage.</li><li> Solid understanding of software development including operating systems software engineering design patterns data structures database systems network security and others.</li><li> Knowledge of distributed system design and development load balancing system disaster recovery design and high availability systems.</li></div>
Software Developer,EASIPOS,Singapore| Singapore,1 month ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/software-developer-at-easipos-2207233541?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Job Purpose<br/></u></strong><ul> <li>This individual will work independently on the design installation and maintenance of systems projects.</li> <li>He or She will document processes test applications and train internal staff. He or she must be able to troubleshoot and debug applications.</li> <li>He or she will also work closely with the project team to implement systems projects.</li> <br/><br/></ul><strong><u>Key Responsibilities<br/></u></strong><ul> <li>Performs system development and maintenance work in Company’s products.</li> <li>Assists in Point-Of-Sales (“POS”) and Kiosk development support to existing customers.</li> <li>Assists in POS and Kiosk system development conceptualization.</li> <li>Assists in developing integration with peripherals used in POS and Kiosk</li> <li>Preparation of POS development mock-ups and demos system request from Sales Division.</li> <li>Hands on coding and development using the technologies required for the projects.</li> <li>Involves in testing and integrating new technologies for the projects.</li> <li>Documents process and test developed functionalities before product official release.</li> <br/><br/></ul><strong><u>Requirements<br/></u></strong><ul> <li>Minimum Bachelor Degree in Computer Science</li> <li>VB.NET and MS SQL</li> <li>Proficient developing in WPF</li> <li>Proficient consuming API in SOAP or RESTful</li> <li>POS Experience will be advantages</li> <li>Ability to multi-task and work on tight schedules.</li> <li>Great teamwork spirit yet have the ability to work individually when required.</li> <br/></ul>Interested candidates are invited to apply now or email to leeyin.wong@easipos.com with a comprehensive resume your current and expected salary and reason of leaving.<br/><br/>We regret that only shortlisted candidates will be notified.<br/><br/>Thank you for applying.</div>
Junior Software Developer,2359 Media,Singapore| Singapore,1 month ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/junior-software-developer-at-2359-media-2212045934?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><ul><li>Must be proficient in Java React Native React JS or Python</li><li> Working with project managers to translate features into stories</li><li> Architecting and leading large-scale backend development work</li><li> Working and collaborating with the rest of the engineering team</li><li> Working with product team and graphic designers</li><li> Learning and understanding user interactions</li><li> Developing and supporting graphical interfaces;</li><li> Supporting existing solutions;</li><li> Optimizing components for maximum performance across a vast array of web-capable devices and browsers</li></ul></div>
Jr Full Stack Developer,Chinsay,Singapore| Singapore,2 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/jr-full-stack-developer-at-chinsay-2203914119?refId=ef51802d-aa58-4fee-93c4-71d54854c714&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">We’re looking for full-stack developers closer to the beginning of their development career to join our team.<br/><br/>You’ll use technologies like C# .NET Core and Typescript to deliver a revolutionary cloud-native Contract Management platform hosted in Azure. Everyone in the team is involved in architecture discussions coding testing and the discovery of great new technology.<br/><br/>As a full-stack software developer at Chinsay you will work together with experienced senior developers in Singapore and Stockholm. You will hone your skills throughout the software stack by practicing front-end back-end cloud and database development in a very modern environment with the chance to deep dive into areas you find of particular interest.<br/><br/>We are implementing exciting features including a rules engine data visualization search indexing event driven integrations machine learning migration to Kubernetes and much more. We want you to add something to those discussions and we want to learn from you and for you to learn from them!<br/><br/>Today we are honoured to partner some of the world’s leading organisations in the movement to digitise trade documentation and facilitate digital supply chains throughout the freight and commodity industries. and we take great pride in continuously delivering a modern high-quality service.<br/><br/><strong><u>Essential Skills And Experience<br/></u></strong><ul> <li>Development in C# Java or another language and set of core libraries packages and tools that you can convince us translates to short-term productivity</li> <li>JavaScript knowledge — bonus for experience with TypeScript</li> <li>Appreciation for and ability to produce clean effective well-designed and well-tested code</li> <br/><br/></ul><strong><u>Additional Valuable Skills And Experience<br/></u></strong><ul> <li>Database experience</li> <li>TDD experience</li> <li>Expertise in writing unit tests</li> <li>Design sense and the HTML and CSS skills to back it up</li> <li>Expertise working with search engines e.g. Azure Search Elastic Search or Solr</li> <li>Experience with Azure DevOps</li> <li>Experience with Git</li> <li>Mobile app development experience — experience with Xamarin a bonus</li> <li>Experience with containerization technologies e.g. Docker Vagrant Kubernetes</li> <li>Experience with blockchain and distributed ledger technology</li> <br/></ul>Soft Skills<br/><ul> <li>A sense of humour  love for programming and appreciation for working together with a diverse set of people to solve interesting and challenging problems</li> <br/></ul>Who We Are<br/><br/>Chinsay is a SaaS platform for the end-to-end management of contracts in the global commodities and freight markets – multi-trillion-dollar industries. We were and remain pioneers in designing and building software for collaborative contract management. The space we occupy has some of the world’s largest companies dealing with highly complex problems that are largely managed with centuries old workflows. You will work alongside our team of industry insiders and passionate technologists to deliver solutions that tame complexity and make the old way of doing things obsolete.<br/><br/>Chinsay is transforming the perception of what a contract is and how it can be used to drive value to all areas of an organization. We are front and centre in the movement to digitize trade documentation and facilitate digital supply chains.<br/><br/>We have ambitious plans for our technology and we seek passionate people with skill and tenacity to join our team and help us deliver our vision.<br/><br/>Engineering at Chinsay<br/><br/>Our technology is our business and it is very important to Chinsay to have a highly skilled and motivated engineering team. We practice modern and agile ways of developing software and always evaluate how we work how we can improve and how we can be happy doing it. Retrospectives one-on-ones and reviews are a natural part of our work.<br/><br/>Pair programming and TDD are highly encouraged and used to a great extent though it is up to the developers and teams to organize as they want to get the best results.<br/><br/>To keep our skills sharp and current we do regular coding gatherings. We have team learning (and team fun) events and all developers have a personal budget for education. We expect a lot from our engineers and we will provide you the resources and engaged support you need to do the best work of your career in a company you will love.</div>
